27.03.17/10:18 AM SW ver:OXY10v3_33
Header Ch-1
Description: Q10RAMP-25CP-B35
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100067
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:18:26 AM;0.00;96.900;27.120;17513.000;25.000
27.03.17;10:18:27 AM;0.02;96.420;27.170;17633.000;25.000
27.03.17;10:18:28 AM;0.03;97.040;27.100;17591.000;25.000
27.03.17;10:18:29 AM;0.05;96.600;27.150;17483.000;25.000
27.03.17;10:18:30 AM;0.07;98.200;26.980;17512.000;25.000
27.03.17;10:18:31 AM;0.08;96.180;27.200;17530.000;25.000
27.03.17;10:18:32 AM;0.10;96.550;27.160;17568.000;25.000
27.03.17;10:18:33 AM;0.12;96.620;27.150;17631.000;25.000
27.03.17;10:18:34 AM;0.13;97.250;27.080;17569.000;25.000
27.03.17;10:18:35 AM;0.15;96.690;27.140;17601.000;25.000
27.03.17;10:18:48 AM;0.36;97.720;27.030;17558.000;25.000
27.03.17;10:19:03 AM;0.61;97.960;27.010;17514.000;25.000
27.03.17;10:19:18 AM;0.86;97.550;27.050;17500.000;25.000
27.03.17;10:19:33 AM;1.11;97.740;27.030;17553.000;25.000
27.03.17;10:19:48 AM;1.36;96.980;27.110;17560.000;25.000
27.03.17;10:20:03 AM;1.61;96.840;27.130;17498.000;25.000
27.03.17;10:20:18 AM;1.86;98.020;27.000;17488.000;25.000
27.03.17;10:20:33 AM;2.11;98.960;26.900;17441.000;25.000
27.03.17;10:20:48 AM;2.36;99.630;26.830;17399.000;25.000
27.03.17;10:21:03 AM;2.61;98.730;26.920;17401.000;25.000
27.03.17;10:21:18 AM;2.86;97.550;27.050;17466.000;25.000
27.03.17;10:21:33 AM;3.11;99.520;26.840;17323.000;25.000
27.03.17;10:21:48 AM;3.36;98.280;26.970;17430.000;25.000
27.03.17;10:22:03 AM;3.61;98.610;26.940;17422.000;25.000
27.03.17;10:22:18 AM;3.86;98.190;26.980;17390.000;25.000
27.03.17;10:22:33 AM;4.11;100.250;26.760;17268.000;25.000
27.03.17;10:22:48 AM;4.36;101.880;26.590;17337.000;25.000
27.03.17;10:23:03 AM;4.61;98.410;26.960;17319.000;25.000
27.03.17;10:23:18 AM;4.86;99.530;26.840;17288.000;25.000
27.03.17;10:23:33 AM;5.11;100.650;26.720;17188.000;25.000
27.03.17;10:23:48 AM;5.36;100.630;26.720;17226.000;25.000
27.03.17;10:24:03 AM;5.61;100.210;26.770;17242.000;25.000
27.03.17;10:24:18 AM;5.86;100.330;26.750;17206.000;25.000
27.03.17;10:24:33 AM;6.11;100.570;26.730;17172.000;25.000
27.03.17;10:24:48 AM;6.36;100.510;26.740;17211.000;25.000
27.03.17;10:25:03 AM;6.61;100.270;26.760;17203.000;25.000
27.03.17;10:25:18 AM;6.86;101.750;26.610;17196.000;25.000
27.03.17;10:25:33 AM;7.11;101.100;26.670;17150.000;25.000
27.03.17;10:25:48 AM;7.36;102.170;26.560;17056.000;25.000
27.03.17;10:26:03 AM;7.61;102.350;26.550;17035.000;25.000
27.03.17;10:26:18 AM;7.86;101.760;26.610;17106.000;25.000
27.03.17;10:26:33 AM;8.11;102.580;26.520;17013.000;25.000
27.03.17;10:26:48 AM;8.36;103.440;26.440;16983.000;25.000
27.03.17;10:27:03 AM;8.61;102.480;26.530;17025.000;25.000
27.03.17;10:27:18 AM;8.86;102.260;26.550;17039.000;25.000
27.03.17;10:27:33 AM;9.11;102.470;26.530;16977.000;25.000
27.03.17;10:27:48 AM;9.36;103.750;26.400;16895.000;25.000
27.03.17;10:28:03 AM;9.61;103.840;26.400;16974.000;25.000
27.03.17;10:28:18 AM;9.86;103.750;26.400;16841.000;25.000
27.03.17;10:28:33 AM;10.11;102.550;26.530;16870.000;25.000
27.03.17;10:28:48 AM;10.36;103.720;26.410;16846.000;25.000
27.03.17;10:29:03 AM;10.61;104.690;26.310;16889.000;25.000
27.03.17;10:29:18 AM;10.86;104.190;26.360;16803.000;25.000
27.03.17;10:29:33 AM;11.11;106.040;26.180;16771.000;25.000
27.03.17;10:29:48 AM;11.36;106.020;26.180;16726.000;25.000
27.03.17;10:30:03 AM;11.61;104.840;26.300;16781.000;25.000
27.03.17;10:30:18 AM;11.86;105.930;26.190;16681.000;25.000
27.03.17;10:30:33 AM;12.11;105.440;26.240;16854.000;25.000
27.03.17;10:30:48 AM;12.36;103.300;26.450;16700.000;25.000
27.03.17;10:31:03 AM;12.61;104.960;26.280;16721.000;25.000
27.03.17;10:31:18 AM;12.86;107.500;26.040;16730.000;25.000
27.03.17;10:31:33 AM;13.11;106.410;26.140;16675.000;25.000
27.03.17;10:31:48 AM;13.36;106.910;26.090;16615.000;25.000
27.03.17;10:32:03 AM;13.61;106.060;26.180;16695.000;25.000
27.03.17;10:32:18 AM;13.86;106.660;26.120;16618.000;25.000
