27.03.17/10:18 AM SW ver:OXY10v3_33
Header Ch-2
Description: Q10RAMP-25CP-C7
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 98741
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:18:27 AM;0.00;96.170;27.200;27857.000;25.000
27.03.17;10:18:28 AM;0.02;97.210;27.090;27707.000;25.000
27.03.17;10:18:29 AM;0.03;97.920;27.010;27679.000;25.000
27.03.17;10:18:30 AM;0.05;97.740;27.030;27754.000;25.000
27.03.17;10:18:31 AM;0.07;96.630;27.150;27760.000;25.000
27.03.17;10:18:32 AM;0.08;96.280;27.190;27778.000;25.000
27.03.17;10:18:33 AM;0.10;96.790;27.130;27751.000;25.000
27.03.17;10:18:34 AM;0.12;96.930;27.120;27790.000;25.000
27.03.17;10:18:35 AM;0.13;96.820;27.130;27769.000;25.000
27.03.17;10:18:36 AM;0.15;98.290;26.970;27724.000;25.000
27.03.17;10:18:37 AM;0.17;97.250;27.080;27652.000;25.000
27.03.17;10:18:50 AM;0.39;97.300;27.080;27746.000;25.000
27.03.17;10:19:05 AM;0.64;97.540;27.050;27689.000;25.000
27.03.17;10:19:20 AM;0.89;96.400;27.170;27808.000;25.000
27.03.17;10:19:35 AM;1.14;97.810;27.020;27740.000;25.000
27.03.17;10:19:50 AM;1.39;97.420;27.060;27744.000;25.000
27.03.17;10:20:05 AM;1.64;97.040;27.100;27685.000;25.000
27.03.17;10:20:20 AM;1.89;96.810;27.130;27752.000;25.000
27.03.17;10:20:35 AM;2.14;97.870;27.010;27682.000;25.000
27.03.17;10:20:50 AM;2.39;96.690;27.140;27764.000;25.000
27.03.17;10:21:05 AM;2.64;97.130;27.100;27623.000;25.000
27.03.17;10:21:20 AM;2.89;97.790;27.020;27752.000;25.000
27.03.17;10:21:35 AM;3.14;97.850;27.020;27661.000;25.000
27.03.17;10:21:50 AM;3.39;96.740;27.140;27747.000;25.000
27.03.17;10:22:05 AM;3.64;97.290;27.080;27687.000;25.000
27.03.17;10:22:20 AM;3.89;97.670;27.040;27722.000;25.000
27.03.17;10:22:35 AM;4.14;97.640;27.040;27609.000;25.000
27.03.17;10:22:50 AM;4.39;97.370;27.070;27643.000;25.000
27.03.17;10:23:05 AM;4.64;97.880;27.010;27614.000;25.000
27.03.17;10:23:20 AM;4.89;98.010;27.000;27649.000;25.000
