27.03.17/10:18 AM SW ver:OXY10v3_33
Header Ch-3
Description: Q10RAMP-25CP-D29
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 101116
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:18:36 AM;0.00;96.040;27.210;26214.000;25.000
27.03.17;10:18:37 AM;0.02;96.680;27.140;26185.000;25.000
27.03.17;10:18:38 AM;0.03;96.250;27.190;26185.000;25.000
27.03.17;10:18:39 AM;0.05;96.150;27.200;26193.000;25.000
27.03.17;10:18:40 AM;0.07;95.900;27.230;26260.000;25.000
27.03.17;10:18:41 AM;0.09;96.710;27.140;26150.000;25.000
27.03.17;10:18:42 AM;0.10;96.810;27.130;26162.000;25.000
27.03.17;10:18:43 AM;0.12;97.030;27.110;26270.000;25.000
27.03.17;10:18:44 AM;0.14;97.330;27.070;26233.000;25.000
27.03.17;10:18:45 AM;0.15;97.020;27.110;26183.000;25.000
27.03.17;10:18:46 AM;0.17;96.200;27.200;26277.000;25.000
27.03.17;10:18:51 AM;0.24;96.490;27.160;26185.000;25.000
27.03.17;10:19:06 AM;0.49;96.470;27.170;26214.000;25.000
27.03.17;10:19:21 AM;0.74;96.550;27.160;26248.000;25.000
27.03.17;10:19:35 AM;0.99;97.150;27.090;26220.000;25.000
27.03.17;10:19:50 AM;1.24;97.410;27.060;26162.000;25.000
27.03.17;10:20:05 AM;1.49;96.300;27.190;26224.000;25.000
27.03.17;10:20:20 AM;1.74;95.640;27.260;26170.000;25.000
27.03.17;10:20:35 AM;1.99;98.150;26.980;26099.000;25.000
27.03.17;10:20:50 AM;2.24;96.020;27.220;26217.000;25.000
27.03.17;10:21:06 AM;2.49;97.110;27.100;26111.000;25.000
27.03.17;10:21:20 AM;2.74;96.510;27.160;26153.000;25.000
27.03.17;10:21:35 AM;2.99;96.200;27.200;26136.000;25.000
27.03.17;10:21:50 AM;3.24;97.880;27.010;26087.000;25.000
27.03.17;10:22:06 AM;3.49;96.680;27.140;26105.000;25.000
27.03.17;10:22:21 AM;3.74;97.090;27.100;26157.000;25.000
27.03.17;10:22:35 AM;3.99;97.600;27.040;26029.000;25.000
27.03.17;10:22:50 AM;4.24;96.800;27.130;26000.000;25.000
27.03.17;10:23:05 AM;4.49;97.900;27.010;26062.000;25.000
27.03.17;10:23:20 AM;4.74;97.250;27.080;26051.000;25.000
27.03.17;10:23:35 AM;4.99;97.620;27.040;26004.000;25.000
27.03.17;10:23:50 AM;5.24;97.620;27.040;25997.000;25.000
27.03.17;10:24:05 AM;5.49;97.230;27.080;26059.000;25.000
27.03.17;10:24:20 AM;5.74;97.680;27.040;25961.000;25.000
27.03.17;10:24:35 AM;5.99;98.070;26.990;26017.000;25.000
27.03.17;10:24:50 AM;6.24;97.930;27.010;25973.000;25.000
27.03.17;10:25:05 AM;6.49;98.550;26.940;26025.000;25.000
27.03.17;10:25:20 AM;6.74;99.060;26.890;25944.000;25.000
27.03.17;10:25:35 AM;6.99;99.450;26.850;25832.000;25.000
27.03.17;10:25:50 AM;7.24;99.190;26.870;25851.000;25.000
27.03.17;10:26:05 AM;7.49;98.210;26.980;25834.000;25.000
27.03.17;10:26:20 AM;7.74;98.540;26.940;25842.000;25.000
27.03.17;10:26:35 AM;7.99;100.220;26.770;25715.000;25.000
27.03.17;10:26:50 AM;8.24;99.400;26.850;25761.000;25.000
27.03.17;10:27:05 AM;8.49;99.440;26.850;25721.000;25.000
27.03.17;10:27:20 AM;8.74;98.880;26.910;25711.000;25.000
27.03.17;10:27:35 AM;8.99;99.500;26.840;25773.000;25.000
27.03.17;10:27:50 AM;9.24;99.980;26.790;25602.000;25.000
27.03.17;10:28:05 AM;9.49;100.150;26.770;25666.000;25.000
27.03.17;10:28:20 AM;9.74;99.970;26.790;25701.000;25.000
27.03.17;10:28:35 AM;9.99;100.250;26.760;25680.000;25.000
27.03.17;10:28:50 AM;10.24;100.310;26.760;25571.000;25.000
27.03.17;10:29:05 AM;10.49;101.650;26.620;25508.000;25.000
27.03.17;10:29:20 AM;10.74;101.000;26.680;25487.000;25.000
