27.03.17/10:18 AM SW ver:OXY10v3_33
Header Ch-4
Description: Q10RAMP-25CP-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 97878
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:18:38 AM;0.00;96.780;27.130;26326.000;25.000
27.03.17;10:18:39 AM;0.02;96.900;27.120;26392.000;25.000
27.03.17;10:18:40 AM;0.04;96.970;27.110;26272.000;25.000
27.03.17;10:18:41 AM;0.05;96.700;27.140;26288.000;25.000
27.03.17;10:18:42 AM;0.07;96.740;27.140;26331.000;25.000
27.03.17;10:18:43 AM;0.09;96.540;27.160;26294.000;25.000
27.03.17;10:18:44 AM;0.10;97.030;27.110;26274.000;25.000
27.03.17;10:18:45 AM;0.12;96.480;27.170;26356.000;25.000
27.03.17;10:18:46 AM;0.14;95.420;27.280;26258.000;25.000
27.03.17;10:18:47 AM;0.15;96.540;27.160;26319.000;25.000
27.03.17;10:18:49 AM;0.18;96.890;27.120;26230.000;25.000
27.03.17;10:18:51 AM;0.22;96.420;27.170;26275.000;25.000
27.03.17;10:19:07 AM;0.48;97.520;27.050;26331.000;25.000
27.03.17;10:19:22 AM;0.73;96.170;27.200;26274.000;25.000
27.03.17;10:19:36 AM;0.98;96.690;27.140;26397.000;25.000
27.03.17;10:19:51 AM;1.22;96.960;27.110;26309.000;25.000
27.03.17;10:20:06 AM;1.47;96.110;27.210;26315.000;25.000
27.03.17;10:20:21 AM;1.73;96.910;27.120;26287.000;25.000
27.03.17;10:20:36 AM;1.97;97.370;27.070;26237.000;25.000
27.03.17;10:20:51 AM;2.22;94.920;27.340;26293.000;25.000
27.03.17;10:21:06 AM;2.48;95.840;27.240;26240.000;25.000
27.03.17;10:21:21 AM;2.72;97.000;27.110;26230.000;25.000
27.03.17;10:21:36 AM;2.97;95.780;27.240;26399.000;25.000
27.03.17;10:21:51 AM;3.23;97.540;27.050;26313.000;25.000
27.03.17;10:22:06 AM;3.48;95.890;27.230;26323.000;25.000
27.03.17;10:22:21 AM;3.72;96.910;27.120;26260.000;25.000
27.03.17;10:22:36 AM;3.97;95.880;27.230;26334.000;25.000
27.03.17;10:22:51 AM;4.23;96.410;27.170;26277.000;25.000
27.03.17;10:23:06 AM;4.48;96.250;27.190;26289.000;25.000
27.03.17;10:23:21 AM;4.72;95.860;27.230;26364.000;25.000
27.03.17;10:23:36 AM;4.98;96.580;27.160;26251.000;25.000
27.03.17;10:23:51 AM;5.22;96.810;27.130;26258.000;25.000
27.03.17;10:24:06 AM;5.47;95.720;27.250;26309.000;25.000
27.03.17;10:24:21 AM;5.72;96.080;27.210;26276.000;25.000
27.03.17;10:24:36 AM;5.97;96.490;27.160;26293.000;25.000
27.03.17;10:24:51 AM;6.22;95.680;27.250;26255.000;25.000
27.03.17;10:25:06 AM;6.48;96.120;27.210;26241.000;25.000
27.03.17;10:25:21 AM;6.72;95.640;27.260;26391.000;25.000
