27.03.17/10:18 AM SW ver:OXY10v3_33
Header Ch-5
Description: Q10RAMP-25CP-E3
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 100294
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:18:48 AM;0.00;96.480;27.170;36659.000;25.000
27.03.17;10:18:49 AM;0.03;95.960;27.220;36692.000;25.000
27.03.17;10:18:52 AM;0.07;96.380;27.180;36683.000;25.000
27.03.17;10:18:53 AM;0.09;96.700;27.140;36618.000;25.000
27.03.17;10:18:54 AM;0.11;96.670;27.150;36724.000;25.000
27.03.17;10:18:55 AM;0.12;96.730;27.140;36695.000;25.000
27.03.17;10:18:56 AM;0.14;96.830;27.130;36620.000;25.000
27.03.17;10:18:57 AM;0.16;96.030;27.220;36704.000;25.000
27.03.17;10:18:58 AM;0.18;97.250;27.080;36706.000;25.000
27.03.17;10:18:59 AM;0.19;96.410;27.170;36628.000;25.000
27.03.17;10:19:00 AM;0.21;96.340;27.180;36700.000;25.000
27.03.17;10:19:01 AM;0.23;96.410;27.170;36586.000;25.000
27.03.17;10:19:07 AM;0.33;96.840;27.130;36658.000;25.000
27.03.17;10:19:22 AM;0.58;95.970;27.220;36636.000;25.000
27.03.17;10:19:37 AM;0.82;96.390;27.180;36658.000;25.000
27.03.17;10:19:52 AM;1.07;97.270;27.080;36651.000;25.000
27.03.17;10:20:07 AM;1.32;97.010;27.110;36530.000;25.000
27.03.17;10:20:22 AM;1.57;96.340;27.180;36519.000;25.000
27.03.17;10:20:37 AM;1.82;96.590;27.150;36560.000;25.000
27.03.17;10:20:52 AM;2.07;96.690;27.140;36523.000;25.000
27.03.17;10:21:07 AM;2.32;97.790;27.020;36486.000;25.000
