27.03.17/10:18 AM SW ver:OXY10v3_33
Header Ch-6
Description: Q10RAMP-25CP-F1Y
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 99538
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:18:50 AM;0.00;97.460;27.060;29009.000;25.000
27.03.17;10:18:52 AM;0.04;98.710;26.920;28969.000;25.000
27.03.17;10:18:53 AM;0.06;97.280;27.080;29035.000;25.000
27.03.17;10:18:54 AM;0.08;98.440;26.950;28951.000;25.000
27.03.17;10:18:55 AM;0.10;98.400;26.960;28962.000;25.000
27.03.17;10:18:57 AM;0.12;97.690;27.030;29033.000;25.000
27.03.17;10:18:58 AM;0.13;97.410;27.060;28925.000;25.000
27.03.17;10:18:59 AM;0.15;96.740;27.140;28984.000;25.000
27.03.17;10:19:00 AM;0.17;98.450;26.950;29011.000;25.000
27.03.17;10:19:01 AM;0.18;98.640;26.930;28898.000;25.000
27.03.17;10:19:02 AM;0.20;97.150;27.090;29060.000;25.000
27.03.17;10:19:03 AM;0.23;96.960;27.110;28984.000;25.000
27.03.17;10:19:08 AM;0.30;98.030;27.000;29006.000;25.000
27.03.17;10:19:23 AM;0.55;97.460;27.060;28970.000;25.000
27.03.17;10:19:38 AM;0.80;97.870;27.020;28959.000;25.000
27.03.17;10:19:53 AM;1.05;97.840;27.020;28906.000;25.000
27.03.17;10:20:07 AM;1.30;98.780;26.920;28901.000;25.000
27.03.17;10:20:22 AM;1.55;98.000;27.000;28880.000;25.000
27.03.17;10:20:37 AM;1.80;96.740;27.140;28920.000;25.000
27.03.17;10:20:53 AM;2.05;98.270;26.970;28984.000;25.000
27.03.17;10:21:08 AM;2.30;98.490;26.950;28831.000;25.000
27.03.17;10:21:23 AM;2.55;98.560;26.940;28915.000;25.000
27.03.17;10:21:37 AM;2.80;98.500;26.950;28866.000;25.000
27.03.17;10:21:53 AM;3.05;98.330;26.970;28817.000;25.000
27.03.17;10:22:08 AM;3.30;98.120;26.990;28783.000;25.000
27.03.17;10:22:23 AM;3.55;99.100;26.880;28714.000;25.000
27.03.17;10:22:38 AM;3.80;99.400;26.850;28891.000;25.000
27.03.17;10:22:52 AM;4.05;97.930;27.010;28841.000;25.000
27.03.17;10:23:07 AM;4.30;98.190;26.980;28834.000;25.000
27.03.17;10:23:22 AM;4.55;99.400;26.850;28858.000;25.000
27.03.17;10:23:38 AM;4.80;99.430;26.850;28694.000;25.000
27.03.17;10:23:53 AM;5.05;97.490;27.060;28729.000;25.000
27.03.17;10:24:08 AM;5.30;98.710;26.920;28699.000;25.000
27.03.17;10:24:22 AM;5.55;99.280;26.860;28706.000;25.000
27.03.17;10:24:38 AM;5.80;98.900;26.900;28713.000;25.000
27.03.17;10:24:52 AM;6.05;100.360;26.750;28635.000;25.000
27.03.17;10:25:07 AM;6.30;100.070;26.780;28724.000;25.000
27.03.17;10:25:22 AM;6.55;98.960;26.900;28713.000;25.000
27.03.17;10:25:37 AM;6.80;98.760;26.920;28752.000;25.000
27.03.17;10:25:52 AM;7.05;97.910;27.010;28704.000;25.000
27.03.17;10:26:08 AM;7.30;99.990;26.790;28630.000;25.000
27.03.17;10:26:22 AM;7.55;100.120;26.780;28610.000;25.000
27.03.17;10:26:37 AM;7.80;99.700;26.820;28602.000;25.000
27.03.17;10:26:52 AM;8.05;99.390;26.850;28588.000;25.000
27.03.17;10:27:07 AM;8.30;98.860;26.910;28609.000;25.000
27.03.17;10:27:22 AM;8.55;99.460;26.850;28525.000;25.000
27.03.17;10:27:37 AM;8.80;99.600;26.830;28500.000;25.000
27.03.17;10:27:52 AM;9.05;99.010;26.890;28501.000;25.000
27.03.17;10:28:08 AM;9.30;100.240;26.760;28495.000;25.000
27.03.17;10:28:23 AM;9.55;99.380;26.850;28497.000;25.000
27.03.17;10:28:37 AM;9.80;99.340;26.860;28438.000;25.000
27.03.17;10:28:52 AM;10.05;98.510;26.950;28582.000;25.000
27.03.17;10:29:07 AM;10.30;99.530;26.840;28446.000;25.000
27.03.17;10:29:22 AM;10.55;101.010;26.680;28404.000;25.000
27.03.17;10:29:38 AM;10.80;100.100;26.780;28600.000;25.000
27.03.17;10:29:53 AM;11.05;100.650;26.720;28437.000;25.000
27.03.17;10:30:07 AM;11.30;100.870;26.700;28401.000;25.000
27.03.17;10:30:22 AM;11.55;99.970;26.790;28492.000;25.000
27.03.17;10:30:37 AM;11.80;100.200;26.770;28381.000;25.000
27.03.17;10:30:52 AM;12.05;100.890;26.700;28429.000;25.000
27.03.17;10:31:07 AM;12.30;100.170;26.770;28371.000;25.000
27.03.17;10:31:22 AM;12.55;100.400;26.750;28378.000;25.000
27.03.17;10:31:38 AM;12.80;102.580;26.520;28379.000;25.000
27.03.17;10:31:53 AM;13.05;101.600;26.620;28384.000;25.000
27.03.17;10:32:08 AM;13.30;102.070;26.570;28249.000;25.000
