27.03.17/10:19 AM SW ver:OXY10v3_33
Header Ch-7
Description: Q10RAMP-25CP-H2
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 95927
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:19:02 AM;0.00;97.320;27.070;29148.000;25.000
27.03.17;10:19:04 AM;0.03;96.860;27.120;29187.000;25.000
27.03.17;10:19:06 AM;0.06;96.660;27.150;29180.000;25.000
27.03.17;10:19:08 AM;0.10;96.850;27.130;29175.000;25.000
27.03.17;10:19:09 AM;0.12;96.920;27.120;29188.000;25.000
27.03.17;10:19:10 AM;0.14;96.760;27.140;29188.000;25.000
27.03.17;10:19:12 AM;0.15;96.080;27.210;29207.000;25.000
27.03.17;10:19:13 AM;0.18;96.830;27.130;29200.000;25.000
27.03.17;10:19:14 AM;0.20;97.000;27.110;29139.000;25.000
27.03.17;10:19:15 AM;0.21;96.860;27.120;29182.000;25.000
27.03.17;10:19:16 AM;0.23;97.360;27.070;29128.000;25.000
27.03.17;10:19:17 AM;0.25;96.470;27.170;29147.000;25.000
27.03.17;10:19:18 AM;0.27;96.770;27.130;29199.000;25.000
27.03.17;10:19:23 AM;0.35;96.310;27.180;29163.000;25.000
27.03.17;10:19:38 AM;0.60;96.040;27.210;29184.000;25.000
27.03.17;10:19:53 AM;0.85;96.250;27.190;29132.000;25.000
27.03.17;10:20:08 AM;1.10;96.590;27.150;29102.000;25.000
27.03.17;10:20:23 AM;1.35;97.170;27.090;29057.000;25.000
27.03.17;10:20:38 AM;1.60;96.910;27.120;29018.000;25.000
27.03.17;10:20:53 AM;1.85;97.860;27.020;28991.000;25.000
27.03.17;10:21:08 AM;2.10;97.940;27.010;28966.000;25.000
27.03.17;10:21:23 AM;2.35;98.880;26.910;28960.000;25.000
27.03.17;10:21:38 AM;2.60;98.110;26.990;28974.000;25.000
27.03.17;10:21:53 AM;2.85;98.620;26.930;28864.000;25.000
27.03.17;10:22:08 AM;3.10;98.510;26.950;28828.000;25.000
27.03.17;10:22:23 AM;3.35;98.220;26.980;28817.000;25.000
27.03.17;10:22:38 AM;3.60;98.340;26.960;28843.000;25.000
27.03.17;10:22:53 AM;3.85;97.970;27.000;28776.000;25.000
27.03.17;10:23:08 AM;4.10;98.570;26.940;28782.000;25.000
27.03.17;10:23:23 AM;4.35;98.240;26.980;28744.000;25.000
27.03.17;10:23:38 AM;4.60;99.240;26.870;28736.000;25.000
27.03.17;10:23:53 AM;4.85;98.900;26.900;28673.000;25.000
27.03.17;10:24:08 AM;5.10;99.780;26.810;28624.000;25.000
27.03.17;10:24:23 AM;5.35;99.350;26.860;28631.000;25.000
27.03.17;10:24:38 AM;5.60;99.360;26.860;28608.000;25.000
27.03.17;10:24:53 AM;5.85;100.370;26.750;28560.000;25.000
27.03.17;10:25:08 AM;6.10;99.450;26.850;28584.000;25.000
27.03.17;10:25:23 AM;6.35;99.600;26.830;28494.000;25.000
27.03.17;10:25:38 AM;6.60;100.200;26.770;28486.000;25.000
27.03.17;10:25:53 AM;6.85;99.410;26.850;28405.000;25.000
27.03.17;10:26:08 AM;7.10;100.570;26.730;28466.000;25.000
27.03.17;10:26:23 AM;7.35;100.010;26.790;28410.000;25.000
27.03.17;10:26:38 AM;7.60;101.190;26.660;28352.000;25.000
27.03.17;10:26:53 AM;7.85;101.000;26.680;28375.000;25.000
27.03.17;10:27:08 AM;8.10;101.140;26.670;28316.000;25.000
27.03.17;10:27:23 AM;8.35;100.900;26.690;28298.000;25.000
27.03.17;10:27:38 AM;8.60;101.720;26.610;28277.000;25.000
27.03.17;10:27:53 AM;8.85;101.860;26.600;28191.000;25.000
27.03.17;10:28:08 AM;9.10;101.330;26.650;28191.000;25.000
27.03.17;10:28:23 AM;9.35;101.090;26.680;28185.000;25.000
27.03.17;10:28:38 AM;9.60;102.270;26.550;28148.000;25.000
27.03.17;10:28:53 AM;9.85;102.970;26.480;28016.000;25.000
27.03.17;10:29:08 AM;10.10;103.450;26.430;28071.000;25.000
27.03.17;10:29:23 AM;10.35;102.340;26.550;28016.000;25.000
