27.03.17/10:19 AM SW ver:OXY10v3_33
Header Ch-8
Description: Q10RAMP-25CP-J7
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 98500
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;10:19:04 AM;0.00;95.360;27.290;27296.000;25.000
27.03.17;10:19:09 AM;0.07;96.590;27.150;27149.000;25.000
27.03.17;10:19:10 AM;0.09;95.920;27.230;27252.000;25.000
27.03.17;10:19:11 AM;0.11;96.200;27.200;27269.000;25.000
27.03.17;10:19:12 AM;0.13;96.480;27.170;27243.000;25.000
27.03.17;10:19:13 AM;0.15;95.660;27.260;27280.000;25.000
27.03.17;10:19:15 AM;0.17;95.860;27.230;27290.000;25.000
27.03.17;10:19:16 AM;0.19;95.490;27.280;27311.000;25.000
27.03.17;10:19:17 AM;0.21;94.780;27.350;27333.000;25.000
27.03.17;10:19:19 AM;0.24;95.510;27.270;27238.000;25.000
27.03.17;10:19:20 AM;0.25;96.060;27.210;27281.000;25.000
27.03.17;10:19:21 AM;0.28;96.010;27.220;27330.000;25.000
27.03.17;10:19:24 AM;0.32;96.640;27.150;27270.000;25.000
27.03.17;10:19:25 AM;0.34;95.730;27.250;27275.000;25.000
27.03.17;10:19:39 AM;0.57;96.290;27.190;27234.000;25.000
27.03.17;10:19:54 AM;0.82;96.210;27.200;27275.000;25.000
27.03.17;10:20:09 AM;1.07;96.210;27.200;27292.000;25.000
27.03.17;10:20:24 AM;1.32;95.890;27.230;27312.000;25.000
27.03.17;10:20:39 AM;1.57;96.180;27.200;27267.000;25.000
27.03.17;10:20:54 AM;1.82;97.260;27.080;27278.000;25.000
27.03.17;10:21:09 AM;2.07;96.250;27.190;27236.000;25.000
27.03.17;10:21:24 AM;2.32;96.570;27.160;27181.000;25.000
27.03.17;10:21:39 AM;2.57;97.000;27.110;27253.000;25.000
