27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-1
Description: Q10RAMP-25CR-B35
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100067
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:03 AM;0.00;98.670;26.930;17846.000;25.000
27.03.17;9:45:04 AM;0.02;98.550;26.940;17866.000;25.000
27.03.17;9:45:05 AM;0.03;97.890;27.010;17864.000;25.000
27.03.17;9:45:18 AM;0.25;98.580;26.940;17870.000;25.000
27.03.17;9:45:33 AM;0.50;97.870;27.020;17872.000;25.000
27.03.17;9:45:48 AM;0.75;97.990;27.000;17884.000;25.000
27.03.17;9:46:03 AM;1.00;98.280;26.970;17843.000;25.000
27.03.17;9:46:18 AM;1.25;97.620;27.040;17842.000;25.000
27.03.17;9:46:33 AM;1.50;98.130;26.990;17828.000;25.000
27.03.17;9:46:48 AM;1.75;97.830;27.020;17827.000;25.000
27.03.17;9:47:03 AM;2.00;98.090;26.990;17822.000;25.000
27.03.17;9:47:18 AM;2.25;98.360;26.960;17806.000;25.000
27.03.17;9:47:33 AM;2.50;97.820;27.020;17809.000;25.000
27.03.17;9:47:48 AM;2.75;98.810;26.910;17998.000;25.000
27.03.17;9:48:03 AM;3.00;98.930;26.900;17980.000;25.000
27.03.17;9:48:17 AM;3.25;98.180;26.980;17985.000;25.000
27.03.17;9:48:33 AM;3.50;98.370;26.960;17999.000;25.000
27.03.17;9:48:48 AM;3.75;98.270;26.970;17979.000;25.000
27.03.17;9:49:03 AM;4.00;97.760;27.030;18009.000;25.000
27.03.17;9:49:18 AM;4.25;98.260;26.970;18002.000;25.000
27.03.17;9:49:32 AM;4.50;97.970;27.000;17981.000;25.000
27.03.17;9:49:48 AM;4.75;98.480;26.950;18007.000;25.000
27.03.17;9:50:03 AM;5.00;97.480;27.060;18009.000;25.000
27.03.17;9:50:18 AM;5.25;98.180;26.980;18010.000;25.000
27.03.17;9:50:33 AM;5.50;98.270;26.970;18020.000;25.000
27.03.17;9:50:48 AM;5.75;97.570;27.050;18025.000;25.000
27.03.17;9:51:02 AM;6.00;98.280;26.970;18021.000;25.000
27.03.17;9:51:18 AM;6.25;98.050;27.000;18037.000;25.000
27.03.17;9:51:33 AM;6.50;98.470;26.950;18040.000;25.000
27.03.17;9:51:48 AM;6.75;97.500;27.050;18001.000;25.000
27.03.17;9:52:03 AM;7.00;97.130;27.100;18020.000;25.000
27.03.17;9:52:18 AM;7.25;97.920;27.010;18056.000;25.000
27.03.17;9:52:33 AM;7.50;97.820;27.020;18049.000;25.000
27.03.17;9:52:47 AM;7.75;96.430;27.170;17994.000;25.000
27.03.17;9:53:03 AM;8.00;98.160;26.980;17986.000;25.000
27.03.17;9:53:18 AM;8.25;97.520;27.050;18007.000;25.000
27.03.17;9:53:33 AM;8.50;97.780;27.020;18018.000;25.000
27.03.17;9:53:48 AM;8.75;96.740;27.140;18018.000;25.000
27.03.17;9:54:03 AM;9.00;96.940;27.120;18012.000;25.000
27.03.17;9:54:18 AM;9.25;96.650;27.150;18055.000;25.000
27.03.17;9:54:33 AM;9.50;96.970;27.110;18013.000;25.000
27.03.17;9:54:47 AM;9.75;97.500;27.050;18013.000;25.000
27.03.17;9:55:03 AM;10.00;96.100;27.210;18021.000;25.000
27.03.17;9:55:18 AM;10.25;96.570;27.160;18036.000;25.000
27.03.17;9:55:33 AM;10.50;96.550;27.160;18040.000;25.000
27.03.17;9:55:48 AM;10.75;95.890;27.230;18077.000;25.000
27.03.17;9:56:03 AM;11.00;96.620;27.150;18054.000;25.000
27.03.17;9:56:18 AM;11.25;95.880;27.230;18083.000;25.000
27.03.17;9:56:33 AM;11.50;95.980;27.220;18085.000;25.000
27.03.17;9:56:48 AM;11.75;95.660;27.260;18090.000;25.000
27.03.17;9:57:02 AM;12.00;95.760;27.250;18100.000;25.000
27.03.17;9:57:18 AM;12.25;96.070;27.210;18123.000;25.000
27.03.17;9:57:32 AM;12.50;95.630;27.260;18120.000;25.000
27.03.17;9:57:48 AM;12.75;94.900;27.340;18133.000;25.000
27.03.17;9:58:03 AM;13.00;95.440;27.280;18126.000;25.000
27.03.17;9:58:18 AM;13.25;95.270;27.300;18125.000;25.000
27.03.17;9:58:33 AM;13.50;94.920;27.340;18141.000;25.000
27.03.17;9:58:48 AM;13.75;95.360;27.290;18146.000;25.000
27.03.17;9:59:03 AM;14.00;95.190;27.310;18161.000;25.000
27.03.17;9:59:18 AM;14.25;95.180;27.310;18143.000;25.000
27.03.17;9:59:33 AM;14.50;95.390;27.290;18151.000;25.000
27.03.17;9:59:48 AM;14.75;95.410;27.280;18170.000;25.000
27.03.17;10:00:03 AM;15.00;95.130;27.320;18162.000;25.000
27.03.17;10:00:18 AM;15.25;95.030;27.330;18149.000;25.000
27.03.17;10:00:33 AM;15.50;94.960;27.330;18167.000;25.000
27.03.17;10:00:48 AM;15.75;95.260;27.300;18173.000;25.000
27.03.17;10:01:03 AM;16.00;94.820;27.350;18171.000;25.000
27.03.17;10:01:18 AM;16.25;94.210;27.420;18183.000;25.000
27.03.17;10:01:33 AM;16.50;94.270;27.410;18152.000;25.000
27.03.17;10:01:48 AM;16.75;94.420;27.390;18149.000;25.000
27.03.17;10:02:02 AM;17.00;94.570;27.380;18160.000;25.000
27.03.17;10:02:18 AM;17.25;94.020;27.440;18177.000;25.000
27.03.17;10:02:33 AM;17.50;94.040;27.440;18183.000;25.000
