27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-2
Description: Q10RAMP-25CR-C7
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 98741
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:03 AM;0.00;98.130;26.990;28946.000;25.000
27.03.17;9:45:04 AM;0.02;97.850;27.020;28971.000;25.000
27.03.17;9:45:05 AM;0.03;97.900;27.010;29011.000;25.000
27.03.17;9:45:20 AM;0.28;97.790;27.020;28974.000;25.000
27.03.17;9:45:35 AM;0.52;97.720;27.030;28969.000;25.000
27.03.17;9:45:50 AM;0.78;98.150;26.980;28990.000;25.000
27.03.17;9:46:05 AM;1.02;98.050;27.000;28954.000;25.000
27.03.17;9:46:20 AM;1.27;97.900;27.010;28952.000;25.000
27.03.17;9:46:35 AM;1.52;97.890;27.010;28954.000;25.000
27.03.17;9:46:50 AM;1.77;97.680;27.040;28995.000;25.000
27.03.17;9:47:05 AM;2.02;97.670;27.040;28973.000;25.000
27.03.17;9:47:20 AM;2.28;97.370;27.070;28962.000;25.000
27.03.17;9:47:35 AM;2.53;97.960;27.010;28971.000;25.000
27.03.17;9:47:50 AM;2.77;97.740;27.030;28946.000;25.000
27.03.17;9:48:05 AM;3.02;97.770;27.030;28948.000;25.000
27.03.17;9:48:20 AM;3.27;97.900;27.010;28940.000;25.000
27.03.17;9:48:35 AM;3.52;97.710;27.030;28936.000;25.000
27.03.17;9:48:50 AM;3.78;97.700;27.030;28934.000;25.000
27.03.17;9:49:05 AM;4.02;97.840;27.020;28932.000;25.000
27.03.17;9:49:20 AM;4.27;97.780;27.020;28924.000;25.000
27.03.17;9:49:35 AM;4.52;97.940;27.010;28950.000;25.000
27.03.17;9:49:50 AM;4.77;97.430;27.060;28924.000;25.000
27.03.17;9:50:05 AM;5.03;96.930;27.120;28908.000;25.000
27.03.17;9:50:20 AM;5.27;97.990;27.000;28920.000;25.000
27.03.17;9:50:35 AM;5.53;97.600;27.040;28893.000;25.000
27.03.17;9:50:50 AM;5.77;97.360;27.070;28894.000;25.000
27.03.17;9:51:05 AM;6.02;97.790;27.020;28904.000;25.000
27.03.17;9:51:20 AM;6.27;97.540;27.050;28558.000;25.000
27.03.17;9:51:35 AM;6.53;97.290;27.080;28552.000;25.000
27.03.17;9:51:50 AM;6.77;97.000;27.110;28542.000;25.000
27.03.17;9:52:05 AM;7.03;97.140;27.090;28554.000;25.000
27.03.17;9:52:20 AM;7.28;97.070;27.100;28574.000;25.000
27.03.17;9:52:35 AM;7.52;97.210;27.090;28555.000;25.000
27.03.17;9:52:50 AM;7.77;97.040;27.100;28585.000;25.000
27.03.17;9:53:05 AM;8.02;97.220;27.090;28572.000;25.000
27.03.17;9:53:20 AM;8.27;96.850;27.130;28559.000;25.000
27.03.17;9:53:35 AM;8.52;97.010;27.110;28595.000;25.000
27.03.17;9:53:50 AM;8.78;97.180;27.090;28571.000;25.000
27.03.17;9:54:05 AM;9.03;96.350;27.180;28584.000;25.000
27.03.17;9:54:20 AM;9.27;96.580;27.160;28571.000;25.000
27.03.17;9:54:35 AM;9.53;95.990;27.220;28555.000;25.000
27.03.17;9:54:50 AM;9.77;96.270;27.190;28563.000;25.000
27.03.17;9:55:05 AM;10.02;96.400;27.170;28504.000;25.000
27.03.17;9:55:20 AM;10.27;96.540;27.160;28438.000;25.000
27.03.17;9:55:35 AM;10.52;96.280;27.190;28411.000;25.000
27.03.17;9:55:50 AM;10.78;96.290;27.190;28411.000;25.000
27.03.17;9:56:05 AM;11.03;96.180;27.200;28408.000;25.000
27.03.17;9:56:20 AM;11.28;95.840;27.240;28417.000;25.000
27.03.17;9:56:35 AM;11.52;96.060;27.210;28414.000;25.000
27.03.17;9:56:50 AM;11.77;95.920;27.230;28448.000;25.000
27.03.17;9:57:05 AM;12.02;95.840;27.240;28401.000;25.000
27.03.17;9:57:20 AM;12.27;95.510;27.270;28439.000;25.000
