27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-3
Description: Q10RAMP-25CR-D29
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 101116
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:06 AM;0.00;97.250;27.080;26392.000;25.000
27.03.17;9:45:07 AM;0.02;97.200;27.090;26394.000;25.000
27.03.17;9:45:08 AM;0.04;97.980;27.000;26395.000;25.000
27.03.17;9:45:22 AM;0.27;97.020;27.110;26397.000;25.000
27.03.17;9:45:37 AM;0.52;97.420;27.060;26388.000;25.000
27.03.17;9:45:52 AM;0.77;97.130;27.100;26393.000;25.000
27.03.17;9:46:07 AM;1.02;97.130;27.100;26403.000;25.000
27.03.17;9:46:22 AM;1.27;96.910;27.120;26383.000;25.000
27.03.17;9:46:37 AM;1.52;97.140;27.090;26359.000;25.000
27.03.17;9:46:52 AM;1.77;96.970;27.110;26359.000;25.000
27.03.17;9:47:07 AM;2.02;97.620;27.040;26352.000;25.000
27.03.17;9:47:22 AM;2.27;97.070;27.100;26375.000;25.000
27.03.17;9:47:37 AM;2.52;97.340;27.070;26382.000;25.000
27.03.17;9:47:52 AM;2.77;96.910;27.120;26388.000;25.000
27.03.17;9:48:07 AM;3.02;96.960;27.110;26375.000;25.000
27.03.17;9:48:22 AM;3.27;96.950;27.110;26384.000;25.000
27.03.17;9:48:37 AM;3.52;97.330;27.070;26379.000;25.000
27.03.17;9:48:52 AM;3.77;97.470;27.060;26399.000;25.000
27.03.17;9:49:07 AM;4.02;97.010;27.110;26383.000;25.000
27.03.17;9:49:22 AM;4.27;97.220;27.090;26403.000;25.000
27.03.17;9:49:37 AM;4.52;97.280;27.080;26415.000;25.000
27.03.17;9:49:52 AM;4.77;97.000;27.110;26363.000;25.000
27.03.17;9:50:07 AM;5.02;97.020;27.110;26375.000;25.000
27.03.17;9:50:22 AM;5.27;97.140;27.090;26357.000;25.000
27.03.17;9:50:37 AM;5.52;97.430;27.060;26362.000;25.000
27.03.17;9:50:52 AM;5.77;97.450;27.060;26364.000;25.000
27.03.17;9:51:07 AM;6.02;97.120;27.100;26332.000;25.000
27.03.17;9:51:22 AM;6.27;97.350;27.070;26334.000;25.000
27.03.17;9:51:37 AM;6.52;97.630;27.040;26317.000;25.000
27.03.17;9:51:52 AM;6.77;97.420;27.060;26324.000;25.000
27.03.17;9:52:07 AM;7.02;97.570;27.050;26310.000;25.000
27.03.17;9:52:22 AM;7.27;97.070;27.100;26331.000;25.000
27.03.17;9:52:37 AM;7.52;97.190;27.090;26323.000;25.000
27.03.17;9:52:52 AM;7.77;97.370;27.070;26349.000;25.000
27.03.17;9:53:07 AM;8.02;97.400;27.070;26360.000;25.000
27.03.17;9:53:22 AM;8.27;97.230;27.080;26331.000;25.000
27.03.17;9:53:37 AM;8.52;96.490;27.160;26371.000;25.000
27.03.17;9:53:52 AM;8.77;97.250;27.080;26394.000;25.000
27.03.17;9:54:07 AM;9.02;96.570;27.160;26370.000;25.000
27.03.17;9:54:22 AM;9.27;96.390;27.180;26390.000;25.000
27.03.17;9:54:37 AM;9.52;96.880;27.120;26375.000;25.000
27.03.17;9:54:52 AM;9.77;96.710;27.140;26360.000;25.000
27.03.17;9:55:07 AM;10.02;97.250;27.080;26388.000;25.000
27.03.17;9:55:22 AM;10.27;96.680;27.140;26387.000;25.000
27.03.17;9:55:37 AM;10.52;96.760;27.140;26385.000;25.000
27.03.17;9:55:52 AM;10.77;97.530;27.050;26397.000;25.000
27.03.17;9:56:07 AM;11.02;96.370;27.180;26406.000;25.000
27.03.17;9:56:22 AM;11.27;96.710;27.140;26435.000;25.000
27.03.17;9:56:37 AM;11.52;96.430;27.170;26410.000;25.000
27.03.17;9:56:52 AM;11.77;95.920;27.230;26420.000;25.000
27.03.17;9:57:07 AM;12.02;96.350;27.180;26414.000;25.000
27.03.17;9:57:22 AM;12.27;96.650;27.150;26432.000;25.000
