27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-4
Description: Q10RAMP-25CR-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 97878
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:06 AM;0.00;97.100;27.100;26627.000;25.000
27.03.17;9:45:07 AM;0.02;97.020;27.110;26619.000;25.000
27.03.17;9:45:09 AM;0.05;97.180;27.090;26640.000;25.000
27.03.17;9:45:24 AM;0.29;96.940;27.120;26643.000;25.000
27.03.17;9:45:39 AM;0.54;97.180;27.090;26646.000;25.000
27.03.17;9:45:54 AM;0.79;96.840;27.130;26609.000;25.000
27.03.17;9:46:09 AM;1.04;97.290;27.080;26623.000;25.000
27.03.17;9:46:24 AM;1.29;96.850;27.130;26602.000;25.000
27.03.17;9:46:39 AM;1.54;96.690;27.140;26601.000;25.000
27.03.17;9:46:54 AM;1.79;96.700;27.140;26581.000;25.000
27.03.17;9:47:09 AM;2.04;97.030;27.110;26579.000;25.000
27.03.17;9:47:24 AM;2.29;96.520;27.160;26580.000;25.000
27.03.17;9:47:39 AM;2.54;96.940;27.120;26583.000;25.000
27.03.17;9:47:54 AM;2.79;96.760;27.140;26572.000;25.000
27.03.17;9:48:09 AM;3.04;96.690;27.140;26575.000;25.000
27.03.17;9:48:24 AM;3.29;96.880;27.120;26545.000;25.000
27.03.17;9:48:39 AM;3.54;97.200;27.090;26576.000;25.000
27.03.17;9:48:54 AM;3.79;96.550;27.160;26562.000;25.000
27.03.17;9:49:09 AM;4.04;96.530;27.160;26576.000;25.000
27.03.17;9:49:24 AM;4.29;96.650;27.150;26550.000;25.000
27.03.17;9:49:39 AM;4.54;96.820;27.130;26592.000;25.000
27.03.17;9:49:54 AM;4.79;96.620;27.150;26559.000;25.000
27.03.17;9:50:09 AM;5.04;97.060;27.100;26563.000;25.000
27.03.17;9:50:24 AM;5.29;96.770;27.130;26581.000;25.000
27.03.17;9:50:39 AM;5.54;96.360;27.180;26566.000;25.000
27.03.17;9:50:54 AM;5.79;96.640;27.150;26564.000;25.000
27.03.17;9:51:09 AM;6.04;96.650;27.150;26528.000;25.000
27.03.17;9:51:24 AM;6.29;96.600;27.150;26554.000;25.000
27.03.17;9:51:39 AM;6.54;96.870;27.120;26519.000;25.000
27.03.17;9:51:54 AM;6.79;96.730;27.140;26580.000;25.000
27.03.17;9:52:09 AM;7.04;97.090;27.100;26520.000;25.000
27.03.17;9:52:24 AM;7.29;96.880;27.120;26531.000;25.000
27.03.17;9:52:39 AM;7.54;96.870;27.120;26528.000;25.000
27.03.17;9:52:54 AM;7.79;96.710;27.140;26531.000;25.000
27.03.17;9:53:09 AM;8.04;96.610;27.150;26515.000;25.000
27.03.17;9:53:24 AM;8.29;96.530;27.160;26525.000;25.000
27.03.17;9:53:39 AM;8.54;96.410;27.170;26494.000;25.000
27.03.17;9:53:54 AM;8.79;96.390;27.180;26473.000;25.000
27.03.17;9:54:09 AM;9.04;97.490;27.060;26488.000;25.000
27.03.17;9:54:24 AM;9.29;96.760;27.140;26461.000;25.000
27.03.17;9:54:39 AM;9.54;96.490;27.160;26498.000;25.000
27.03.17;9:54:54 AM;9.79;96.730;27.140;26491.000;25.000
27.03.17;9:55:09 AM;10.04;97.030;27.110;26496.000;25.000
27.03.17;9:55:24 AM;10.29;96.540;27.160;26481.000;25.000
27.03.17;9:55:39 AM;10.54;96.340;27.180;26501.000;25.000
27.03.17;9:55:54 AM;10.79;96.280;27.190;26515.000;25.000
27.03.17;9:56:09 AM;11.04;96.580;27.160;26483.000;25.000
27.03.17;9:56:24 AM;11.29;96.480;27.170;26479.000;25.000
27.03.17;9:56:39 AM;11.54;96.580;27.160;26482.000;25.000
27.03.17;9:56:54 AM;11.79;96.200;27.200;26471.000;25.000
27.03.17;9:57:09 AM;12.04;96.410;27.170;26473.000;25.000
27.03.17;9:57:24 AM;12.29;96.610;27.150;26480.000;25.000
27.03.17;9:57:39 AM;12.54;96.930;27.120;26461.000;25.000
27.03.17;9:57:54 AM;12.79;96.520;27.160;26483.000;25.000
27.03.17;9:58:09 AM;13.04;96.350;27.180;26484.000;25.000
27.03.17;9:58:24 AM;13.29;96.440;27.170;26463.000;25.000
27.03.17;9:58:39 AM;13.54;96.540;27.160;26461.000;25.000
27.03.17;9:58:54 AM;13.79;96.210;27.200;26456.000;25.000
27.03.17;9:59:09 AM;14.04;96.170;27.200;26453.000;25.000
27.03.17;9:59:24 AM;14.29;96.330;27.180;26456.000;25.000
27.03.17;9:59:39 AM;14.54;96.370;27.180;26457.000;25.000
27.03.17;9:59:54 AM;14.79;96.410;27.170;26450.000;25.000
27.03.17;10:00:09 AM;15.04;96.310;27.180;26469.000;25.000
27.03.17;10:00:24 AM;15.29;96.280;27.190;26448.000;25.000
27.03.17;10:00:39 AM;15.54;96.800;27.130;26473.000;25.000
27.03.17;10:00:54 AM;15.79;96.110;27.210;26462.000;25.000
27.03.17;10:01:09 AM;16.04;96.320;27.180;26458.000;25.000
27.03.17;10:01:24 AM;16.29;96.480;27.170;26435.000;25.000
27.03.17;10:01:39 AM;16.54;96.610;27.150;26459.000;25.000
27.03.17;10:01:54 AM;16.79;96.080;27.210;26428.000;25.000
27.03.17;10:02:09 AM;17.04;96.000;27.220;26456.000;25.000
27.03.17;10:02:24 AM;17.29;96.110;27.210;26465.000;25.000
27.03.17;10:02:39 AM;17.54;96.180;27.200;26452.000;25.000
