27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-5
Description: Q10RAMP-25CR-E3
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 100294
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:08 AM;0.00;96.540;27.160;40779.000;25.000
27.03.17;9:45:09 AM;0.02;97.010;27.110;40776.000;25.000
27.03.17;9:45:11 AM;0.05;96.720;27.140;40769.000;25.000
27.03.17;9:45:26 AM;0.29;96.500;27.160;40804.000;25.000
27.03.17;9:45:41 AM;0.54;96.820;27.130;40787.000;25.000
27.03.17;9:45:56 AM;0.79;96.770;27.130;40792.000;25.000
27.03.17;9:46:11 AM;1.04;96.610;27.150;40758.000;25.000
27.03.17;9:46:26 AM;1.29;96.870;27.120;40738.000;25.000
27.03.17;9:46:41 AM;1.54;96.540;27.160;40711.000;25.000
27.03.17;9:46:56 AM;1.79;96.620;27.150;40711.000;25.000
27.03.17;9:47:11 AM;2.04;96.640;27.150;40681.000;25.000
27.03.17;9:47:26 AM;2.29;96.710;27.140;40662.000;25.000
27.03.17;9:47:41 AM;2.54;96.760;27.140;40610.000;25.000
27.03.17;9:47:56 AM;2.79;96.730;27.140;40570.000;25.000
27.03.17;9:48:11 AM;3.04;97.030;27.110;40557.000;25.000
27.03.17;9:48:26 AM;3.29;96.700;27.140;40532.000;25.000
27.03.17;9:48:41 AM;3.54;96.790;27.130;40488.000;25.000
27.03.17;9:48:56 AM;3.79;96.460;27.170;40437.000;25.000
27.03.17;9:49:11 AM;4.04;96.780;27.130;40429.000;25.000
27.03.17;9:49:26 AM;4.29;96.310;27.180;40339.000;25.000
27.03.17;9:49:41 AM;4.54;96.320;27.180;40296.000;25.000
27.03.17;9:49:56 AM;4.79;96.180;27.200;40252.000;25.000
27.03.17;9:50:11 AM;5.04;96.270;27.190;40176.000;25.000
27.03.17;9:50:26 AM;5.29;96.210;27.200;40130.000;25.000
27.03.17;9:50:41 AM;5.54;96.010;27.220;40064.000;25.000
27.03.17;9:50:56 AM;5.79;95.820;27.240;40057.000;25.000
27.03.17;9:51:11 AM;6.04;95.980;27.220;39980.000;25.000
27.03.17;9:51:26 AM;6.29;95.890;27.230;39960.000;25.000
27.03.17;9:51:41 AM;6.54;96.180;27.200;39907.000;25.000
27.03.17;9:51:56 AM;6.79;95.650;27.260;39835.000;25.000
27.03.17;9:52:11 AM;7.05;95.840;27.240;39776.000;25.000
27.03.17;9:52:26 AM;7.29;95.520;27.270;39756.000;25.000
27.03.17;9:52:41 AM;7.54;95.500;27.270;39695.000;25.000
27.03.17;9:52:56 AM;7.79;95.420;27.280;39672.000;25.000
27.03.17;9:53:11 AM;8.04;95.510;27.270;39629.000;25.000
27.03.17;9:53:26 AM;8.29;95.520;27.270;39590.000;25.000
27.03.17;9:53:41 AM;8.54;95.460;27.280;39582.000;25.000
27.03.17;9:53:56 AM;8.79;95.380;27.290;39556.000;25.000
27.03.17;9:54:11 AM;9.04;95.330;27.290;39559.000;25.000
27.03.17;9:54:26 AM;9.29;95.260;27.300;39516.000;25.000
27.03.17;9:54:41 AM;9.54;95.370;27.290;39505.000;25.000
27.03.17;9:54:56 AM;9.79;95.180;27.310;39492.000;25.000
27.03.17;9:55:11 AM;10.04;95.200;27.310;39455.000;25.000
27.03.17;9:55:26 AM;10.29;94.900;27.340;39413.000;25.000
27.03.17;9:55:41 AM;10.54;95.070;27.320;39377.000;25.000
27.03.17;9:55:56 AM;10.79;94.990;27.330;39326.000;25.000
27.03.17;9:56:11 AM;11.04;95.120;27.320;39319.000;25.000
27.03.17;9:56:26 AM;11.29;94.610;27.370;39264.000;25.000
27.03.17;9:56:41 AM;11.54;94.770;27.360;39266.000;25.000
27.03.17;9:56:56 AM;11.79;94.440;27.390;39234.000;25.000
27.03.17;9:57:11 AM;12.04;94.820;27.350;39190.000;25.000
27.03.17;9:57:26 AM;12.29;94.680;27.370;39168.000;25.000
27.03.17;9:57:41 AM;12.54;94.130;27.430;39144.000;25.000
27.03.17;9:57:56 AM;12.79;94.730;27.360;39070.000;25.000
27.03.17;9:58:11 AM;13.04;94.160;27.420;39068.000;25.000
27.03.17;9:58:26 AM;13.29;94.300;27.410;39031.000;25.000
27.03.17;9:58:41 AM;13.54;94.350;27.400;39018.000;25.000
27.03.17;9:58:56 AM;13.79;94.190;27.420;39008.000;25.000
27.03.17;9:59:11 AM;14.04;94.250;27.410;38990.000;25.000
27.03.17;9:59:26 AM;14.29;94.120;27.430;38936.000;25.000
27.03.17;9:59:41 AM;14.54;94.120;27.430;38944.000;25.000
27.03.17;9:59:56 AM;14.79;94.160;27.420;38928.000;25.000
27.03.17;10:00:11 AM;15.04;93.920;27.450;38902.000;25.000
27.03.17;10:00:26 AM;15.29;93.840;27.460;38908.000;25.000
27.03.17;10:00:41 AM;15.54;93.880;27.460;38875.000;25.000
27.03.17;10:00:56 AM;15.79;93.720;27.470;38875.000;25.000
27.03.17;10:01:11 AM;16.04;93.790;27.470;38848.000;25.000
27.03.17;10:01:26 AM;16.29;93.570;27.490;38865.000;25.000
27.03.17;10:01:41 AM;16.54;93.500;27.500;38835.000;25.000
27.03.17;10:01:56 AM;16.79;93.490;27.500;38831.000;25.000
27.03.17;10:02:11 AM;17.04;93.440;27.510;38774.000;25.000
27.03.17;10:02:26 AM;17.29;93.400;27.510;38804.000;25.000
