27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-6
Description: Q10RAMP-25CR-F1Y
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 99538
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:10 AM;0.00;98.120;26.990;29188.000;25.000
27.03.17;9:45:12 AM;0.03;98.070;26.990;29183.000;25.000
27.03.17;9:45:13 AM;0.06;97.920;27.010;29147.000;25.000
27.03.17;9:45:28 AM;0.30;98.290;26.970;29151.000;25.000
27.03.17;9:45:43 AM;0.55;99.200;26.870;29210.000;25.000
27.03.17;9:45:58 AM;0.80;98.500;26.950;29231.000;25.000
27.03.17;9:46:13 AM;1.05;97.830;27.020;29166.000;25.000
27.03.17;9:46:28 AM;1.30;97.950;27.010;29171.000;25.000
27.03.17;9:46:43 AM;1.55;98.330;26.970;29140.000;25.000
27.03.17;9:46:58 AM;1.80;98.330;26.970;29195.000;25.000
27.03.17;9:47:13 AM;2.05;97.740;27.030;29174.000;25.000
27.03.17;9:47:28 AM;2.30;98.760;26.920;29139.000;25.000
27.03.17;9:47:43 AM;2.55;98.020;27.000;29163.000;25.000
27.03.17;9:47:58 AM;2.80;98.350;26.960;29133.000;25.000
27.03.17;9:48:13 AM;3.05;97.140;27.090;29136.000;25.000
27.03.17;9:48:28 AM;3.30;98.680;26.930;29121.000;25.000
27.03.17;9:48:43 AM;3.55;97.050;27.100;29134.000;25.000
27.03.17;9:48:58 AM;3.80;97.730;27.030;29147.000;25.000
27.03.17;9:49:13 AM;4.05;98.590;26.940;29116.000;25.000
27.03.17;9:49:28 AM;4.30;97.680;27.040;29128.000;25.000
27.03.17;9:49:43 AM;4.55;98.130;26.990;29138.000;25.000
27.03.17;9:49:58 AM;4.80;98.160;26.980;29103.000;25.000
27.03.17;9:50:13 AM;5.05;98.260;26.970;29151.000;25.000
27.03.17;9:50:28 AM;5.30;98.370;26.960;29144.000;25.000
27.03.17;9:50:43 AM;5.55;98.000;27.000;29142.000;25.000
27.03.17;9:50:58 AM;5.80;97.110;27.100;29120.000;25.000
27.03.17;9:51:13 AM;6.05;97.470;27.060;29105.000;25.000
27.03.17;9:51:28 AM;6.30;96.940;27.120;29177.000;25.000
27.03.17;9:51:43 AM;6.55;97.700;27.030;29144.000;25.000
27.03.17;9:51:58 AM;6.80;97.430;27.060;29156.000;25.000
27.03.17;9:52:13 AM;7.05;98.230;26.980;29114.000;25.000
27.03.17;9:52:28 AM;7.30;97.160;27.090;29131.000;25.000
27.03.17;9:52:43 AM;7.55;97.390;27.070;29293.000;25.000
27.03.17;9:52:58 AM;7.80;97.050;27.100;29297.000;25.000
27.03.17;9:53:13 AM;8.05;97.270;27.080;29306.000;25.000
27.03.17;9:53:28 AM;8.30;97.790;27.020;29280.000;25.000
27.03.17;9:53:43 AM;8.55;96.700;27.140;29232.000;25.000
27.03.17;9:53:58 AM;8.80;97.750;27.030;29298.000;25.000
27.03.17;9:54:13 AM;9.05;97.330;27.070;29275.000;25.000
27.03.17;9:54:28 AM;9.30;96.960;27.110;29255.000;25.000
27.03.17;9:54:43 AM;9.55;97.270;27.080;29319.000;25.000
27.03.17;9:54:58 AM;9.80;96.560;27.160;29319.000;25.000
27.03.17;9:55:13 AM;10.05;96.740;27.140;29264.000;25.000
27.03.17;9:55:28 AM;10.30;96.590;27.150;29321.000;25.000
27.03.17;9:55:43 AM;10.55;97.740;27.030;29251.000;25.000
27.03.17;9:55:58 AM;10.80;96.680;27.140;29211.000;25.000
27.03.17;9:56:13 AM;11.05;97.870;27.010;29301.000;25.000
27.03.17;9:56:28 AM;11.30;96.920;27.120;29317.000;25.000
27.03.17;9:56:43 AM;11.55;96.370;27.180;29308.000;25.000
27.03.17;9:56:58 AM;11.80;97.020;27.110;29327.000;25.000
27.03.17;9:57:13 AM;12.05;97.290;27.080;29305.000;25.000
27.03.17;9:57:28 AM;12.30;96.830;27.130;29321.000;25.000
27.03.17;9:57:43 AM;12.55;97.840;27.020;29336.000;25.000
27.03.17;9:57:58 AM;12.80;96.740;27.140;29291.000;25.000
27.03.17;9:58:13 AM;13.05;96.500;27.160;29336.000;25.000
27.03.17;9:58:28 AM;13.30;96.640;27.150;29338.000;25.000
27.03.17;9:58:43 AM;13.55;97.370;27.070;29374.000;25.000
27.03.17;9:58:58 AM;13.80;96.610;27.150;29364.000;25.000
27.03.17;9:59:13 AM;14.05;96.500;27.160;29356.000;25.000
27.03.17;9:59:28 AM;14.30;96.500;27.160;29359.000;25.000
27.03.17;9:59:43 AM;14.55;97.030;27.110;29382.000;25.000
27.03.17;9:59:58 AM;14.80;96.140;27.200;29360.000;25.000
27.03.17;10:00:13 AM;15.05;97.250;27.080;29356.000;25.000
27.03.17;10:00:28 AM;15.30;95.550;27.270;29374.000;25.000
27.03.17;10:00:43 AM;15.55;96.570;27.160;29347.000;25.000
27.03.17;10:00:58 AM;15.80;97.060;27.100;29383.000;25.000
27.03.17;10:01:13 AM;16.05;95.570;27.270;29442.000;25.000
27.03.17;10:01:28 AM;16.30;95.820;27.240;29384.000;25.000
