27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-7
Description: Q10RAMP-25CR-H2
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 95927
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:11 AM;0.00;97.540;27.050;30948.000;25.000
27.03.17;9:45:12 AM;0.03;97.700;27.030;30901.000;25.000
27.03.17;9:45:14 AM;0.06;97.510;27.050;30934.000;25.000
27.03.17;9:45:23 AM;0.20;97.790;27.020;30928.000;25.000
27.03.17;9:45:38 AM;0.45;97.710;27.030;30932.000;25.000
27.03.17;9:45:53 AM;0.70;97.610;27.040;30939.000;25.000
27.03.17;9:46:08 AM;0.95;97.610;27.040;30912.000;25.000
27.03.17;9:46:23 AM;1.20;97.570;27.050;30890.000;25.000
27.03.17;9:46:38 AM;1.45;97.660;27.040;30865.000;25.000
27.03.17;9:46:53 AM;1.70;97.800;27.020;30869.000;25.000
27.03.17;9:47:08 AM;1.95;97.600;27.040;30880.000;25.000
27.03.17;9:47:23 AM;2.20;97.840;27.020;30848.000;25.000
27.03.17;9:47:38 AM;2.45;97.580;27.050;30829.000;25.000
27.03.17;9:47:53 AM;2.70;97.590;27.050;30822.000;25.000
27.03.17;9:48:08 AM;2.95;97.280;27.080;30831.000;25.000
27.03.17;9:48:23 AM;3.20;97.870;27.010;30790.000;25.000
27.03.17;9:48:38 AM;3.45;98.050;27.000;30779.000;25.000
27.03.17;9:48:53 AM;3.70;97.270;27.080;30775.000;25.000
27.03.17;9:49:08 AM;3.95;97.690;27.030;30748.000;25.000
27.03.17;9:49:23 AM;4.20;97.490;27.060;30769.000;25.000
27.03.17;9:49:38 AM;4.45;97.290;27.080;30731.000;25.000
27.03.17;9:49:53 AM;4.70;97.070;27.100;30726.000;25.000
27.03.17;9:50:08 AM;4.95;97.200;27.090;30688.000;25.000
27.03.17;9:50:23 AM;5.20;97.670;27.040;30693.000;25.000
27.03.17;9:50:38 AM;5.45;97.460;27.060;30667.000;25.000
27.03.17;9:50:53 AM;5.70;97.270;27.080;30669.000;25.000
27.03.17;9:51:08 AM;5.95;97.310;27.080;30639.000;25.000
27.03.17;9:51:23 AM;6.20;97.250;27.080;30611.000;25.000
27.03.17;9:51:38 AM;6.45;97.410;27.060;30553.000;25.000
