27.03.17/9:45 AM SW ver:OXY10v3_33
Header Ch-8
Description: Q10RAMP-25CR-J7
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 98500
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;9:45:13 AM;0.00;96.730;27.140;28756.000;25.000
27.03.17;9:45:14 AM;0.03;96.390;27.180;28692.000;25.000
27.03.17;9:45:15 AM;0.04;96.110;27.210;28735.000;25.000
27.03.17;9:45:25 AM;0.21;96.730;27.140;28761.000;25.000
27.03.17;9:45:40 AM;0.46;96.160;27.200;28818.000;25.000
27.03.17;9:45:55 AM;0.71;96.690;27.140;28779.000;25.000
27.03.17;9:46:10 AM;0.96;96.480;27.170;28781.000;25.000
27.03.17;9:46:25 AM;1.21;96.430;27.170;28765.000;25.000
27.03.17;9:46:40 AM;1.46;96.110;27.210;28738.000;25.000
27.03.17;9:46:55 AM;1.71;96.540;27.160;28716.000;25.000
27.03.17;9:47:10 AM;1.96;96.280;27.190;28705.000;25.000
27.03.17;9:47:25 AM;2.21;96.130;27.200;28677.000;25.000
27.03.17;9:47:40 AM;2.46;96.600;27.150;28711.000;25.000
27.03.17;9:47:55 AM;2.71;96.430;27.170;28677.000;25.000
27.03.17;9:48:10 AM;2.96;96.650;27.150;28664.000;25.000
27.03.17;9:48:25 AM;3.21;96.570;27.160;28686.000;25.000
27.03.17;9:48:40 AM;3.46;96.280;27.190;28639.000;25.000
27.03.17;9:48:55 AM;3.71;96.150;27.200;28611.000;25.000
27.03.17;9:49:10 AM;3.96;96.490;27.160;28622.000;25.000
27.03.17;9:49:25 AM;4.21;96.690;27.140;28621.000;25.000
27.03.17;9:49:40 AM;4.46;96.860;27.120;28619.000;25.000
27.03.17;9:49:55 AM;4.71;96.250;27.190;28626.000;25.000
27.03.17;9:50:10 AM;4.96;96.480;27.170;28635.000;25.000
27.03.17;9:50:25 AM;5.21;96.580;27.160;28619.000;25.000
27.03.17;9:50:40 AM;5.46;96.680;27.140;28646.000;25.000
27.03.17;9:50:55 AM;5.71;96.840;27.130;28653.000;25.000
27.03.17;9:51:10 AM;5.96;96.020;27.220;28661.000;25.000
27.03.17;9:51:25 AM;6.21;96.470;27.170;28668.000;25.000
27.03.17;9:51:40 AM;6.46;95.890;27.230;28668.000;25.000
27.03.17;9:51:55 AM;6.71;96.210;27.200;28642.000;25.000
27.03.17;9:52:10 AM;6.96;96.200;27.200;28654.000;25.000
27.03.17;9:52:25 AM;7.21;95.920;27.230;28650.000;25.000
27.03.17;9:52:40 AM;7.46;96.440;27.170;28667.000;25.000
27.03.17;9:52:55 AM;7.71;96.360;27.180;28660.000;25.000
27.03.17;9:53:10 AM;7.96;96.400;27.170;28649.000;25.000
27.03.17;9:53:25 AM;8.21;96.370;27.180;28657.000;25.000
27.03.17;9:53:40 AM;8.46;96.380;27.180;28645.000;25.000
27.03.17;9:53:55 AM;8.71;96.090;27.210;28644.000;25.000
27.03.17;9:54:10 AM;8.96;96.140;27.200;28662.000;25.000
27.03.17;9:54:25 AM;9.21;95.760;27.250;28622.000;25.000
27.03.17;9:54:40 AM;9.46;96.250;27.190;28613.000;25.000
27.03.17;9:54:55 AM;9.71;95.340;27.290;28508.000;25.000
27.03.17;9:55:10 AM;9.96;95.680;27.250;27875.000;25.000
27.03.17;9:55:25 AM;10.21;95.400;27.290;27833.000;25.000
27.03.17;9:55:40 AM;10.46;95.270;27.300;27855.000;25.000
27.03.17;9:55:55 AM;10.71;95.600;27.260;27667.000;25.000
27.03.17;9:56:10 AM;10.96;95.220;27.310;27812.000;25.000
27.03.17;9:56:25 AM;11.21;95.200;27.310;27829.000;25.000
27.03.17;9:56:40 AM;11.46;95.520;27.270;27858.000;25.000
27.03.17;9:56:55 AM;11.71;95.380;27.290;27841.000;25.000
27.03.17;9:57:10 AM;11.96;95.250;27.300;27869.000;25.000
27.03.17;9:57:25 AM;12.21;94.880;27.340;27861.000;25.000
27.03.17;9:57:40 AM;12.46;94.730;27.360;27865.000;25.000
27.03.17;9:57:55 AM;12.71;94.710;27.360;27870.000;25.000
27.03.17;9:58:10 AM;12.96;94.750;27.360;27876.000;25.000
27.03.17;9:58:25 AM;13.21;95.000;27.330;27895.000;25.000
27.03.17;9:58:40 AM;13.46;94.380;27.400;27894.000;25.000
27.03.17;9:58:55 AM;13.71;95.240;27.300;27863.000;25.000
27.03.17;9:59:10 AM;13.96;94.370;27.400;27866.000;25.000
27.03.17;9:59:25 AM;14.21;94.590;27.380;27884.000;25.000
27.03.17;9:59:40 AM;14.46;94.810;27.350;27895.000;25.000
27.03.17;9:59:55 AM;14.71;94.540;27.380;27851.000;25.000
27.03.17;10:00:10 AM;14.96;94.140;27.430;27875.000;25.000
27.03.17;10:00:25 AM;15.21;94.410;27.400;27894.000;25.000
27.03.17;10:00:40 AM;15.46;93.800;27.470;27893.000;25.000
27.03.17;10:00:55 AM;15.71;94.380;27.400;27877.000;25.000
27.03.17;10:01:10 AM;15.96;94.330;27.410;27895.000;25.000
27.03.17;10:01:25 AM;16.21;94.480;27.390;27907.000;25.000
27.03.17;10:01:40 AM;16.46;93.860;27.460;27918.000;25.000
27.03.17;10:01:55 AM;16.71;93.910;27.450;27902.000;25.000
27.03.17;10:02:10 AM;16.96;94.290;27.410;27917.000;25.000
27.03.17;10:02:25 AM;17.21;94.050;27.440;27928.000;25.000
