27.03.17/11:12 AM SW ver:OXY10v3_33
Header Ch-1
Description: Q10RAMP-27.5CR-B35
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100067
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:12:56 AM;0.00;97.940;26.580;16919.000;27.500
27.03.17;11:13:03 AM;0.12;98.440;26.530;16945.000;27.500
27.03.17;11:13:18 AM;0.36;97.930;26.580;16960.000;27.500
27.03.17;11:13:33 AM;0.61;97.840;26.590;16954.000;27.500
27.03.17;11:13:48 AM;0.86;97.840;26.590;17000.000;27.500
27.03.17;11:14:03 AM;1.11;97.790;26.590;16964.000;27.500
27.03.17;11:14:18 AM;1.36;98.250;26.550;16994.000;27.500
27.03.17;11:14:33 AM;1.61;97.290;26.650;17034.000;27.500
27.03.17;11:14:48 AM;1.86;97.520;26.620;17034.000;27.500
27.03.17;11:15:03 AM;2.11;96.960;26.680;17080.000;27.500
27.03.17;11:15:18 AM;2.37;97.210;26.660;17112.000;27.500
27.03.17;11:15:33 AM;2.61;96.440;26.740;17110.000;27.500
27.03.17;11:15:48 AM;2.86;97.040;26.670;17158.000;27.500
27.03.17;11:16:03 AM;3.11;95.450;26.850;17159.000;27.500
27.03.17;11:16:18 AM;3.36;95.050;26.890;17163.000;27.500
27.03.17;11:16:33 AM;3.61;95.990;26.790;17186.000;27.500
27.03.17;11:16:48 AM;3.86;95.640;26.830;17202.000;27.500
27.03.17;11:17:03 AM;4.11;95.040;26.890;17235.000;27.500
27.03.17;11:17:18 AM;4.36;94.500;26.950;17241.000;27.500
27.03.17;11:17:33 AM;4.61;94.730;26.930;17228.000;27.500
27.03.17;11:17:48 AM;4.86;93.910;27.020;17281.000;27.500
27.03.17;11:18:03 AM;5.11;94.980;26.900;17303.000;27.500
27.03.17;11:18:18 AM;5.36;94.690;26.930;17295.000;27.500
27.03.17;11:18:33 AM;5.62;94.550;26.950;17339.000;27.500
27.03.17;11:18:48 AM;5.86;94.070;27.000;17338.000;27.500
27.03.17;11:19:03 AM;6.11;94.050;27.000;17353.000;27.500
27.03.17;11:19:18 AM;6.36;93.630;27.050;17384.000;27.500
27.03.17;11:19:33 AM;6.61;93.680;27.040;17375.000;27.500
27.03.17;11:19:48 AM;6.87;93.880;27.020;17406.000;27.500
27.03.17;11:20:03 AM;7.11;93.140;27.110;17427.000;27.500
27.03.17;11:20:18 AM;7.36;92.480;27.180;17398.000;27.500
27.03.17;11:20:33 AM;7.62;94.220;26.980;17436.000;27.500
27.03.17;11:20:48 AM;7.86;92.230;27.210;17517.000;27.500
27.03.17;11:21:03 AM;8.11;92.680;27.160;17542.000;27.500
27.03.17;11:21:18 AM;8.36;92.180;27.220;17523.000;27.500
27.03.17;11:21:33 AM;8.61;91.350;27.310;17512.000;27.500
27.03.17;11:21:48 AM;8.86;92.720;27.150;17501.000;27.500
27.03.17;11:22:03 AM;9.12;91.850;27.250;17540.000;27.500
27.03.17;11:22:18 AM;9.36;91.820;27.260;17517.000;27.500
27.03.17;11:22:33 AM;9.62;91.640;27.280;17589.000;27.500
27.03.17;11:22:48 AM;9.86;91.760;27.260;17584.000;27.500
27.03.17;11:23:03 AM;10.11;92.130;27.220;17524.000;27.500
27.03.17;11:23:18 AM;10.37;92.560;27.170;17506.000;27.500
27.03.17;11:23:33 AM;10.61;91.830;27.260;17617.000;27.500
27.03.17;11:23:48 AM;10.86;90.360;27.430;17514.000;27.500
27.03.17;11:24:03 AM;11.11;91.870;27.250;17537.000;27.500
27.03.17;11:24:18 AM;11.37;91.450;27.300;17563.000;27.500
27.03.17;11:24:33 AM;11.61;91.790;27.260;17582.000;27.500
27.03.17;11:24:48 AM;11.86;92.470;27.180;17534.000;27.500
27.03.17;11:25:03 AM;12.11;92.200;27.210;17476.000;27.500
27.03.17;11:25:18 AM;12.36;91.770;27.260;17494.000;27.500
27.03.17;11:25:33 AM;12.61;92.370;27.190;17577.000;27.500
27.03.17;11:25:48 AM;12.86;91.960;27.240;17561.000;27.500
27.03.17;11:26:03 AM;13.11;92.080;27.230;17482.000;27.500
27.03.17;11:26:18 AM;13.36;92.900;27.130;17453.000;27.500
27.03.17;11:26:33 AM;13.61;93.120;27.110;17503.000;27.500
27.03.17;11:26:48 AM;13.86;92.890;27.130;17427.000;27.500
27.03.17;11:27:03 AM;14.11;93.190;27.100;17504.000;27.500
27.03.17;11:27:18 AM;14.36;92.420;27.190;17387.000;27.500
27.03.17;11:27:33 AM;14.61;93.460;27.070;17387.000;27.500
27.03.17;11:27:48 AM;14.86;93.000;27.120;17432.000;27.500
