27.03.17/11:12 AM SW ver:OXY10v3_33
Header Ch-2
Description: Q10RAMP-27.5CR-C7
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 98741
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:12:57 AM;0.00;98.340;26.540;26613.000;27.500
27.03.17;11:13:05 AM;0.14;97.850;26.590;26614.000;27.500
27.03.17;11:13:20 AM;0.39;98.050;26.570;26667.000;27.500
27.03.17;11:13:35 AM;0.64;98.950;26.470;26635.000;27.500
27.03.17;11:13:50 AM;0.89;97.870;26.590;26655.000;27.500
27.03.17;11:14:05 AM;1.14;98.030;26.570;26685.000;27.500
27.03.17;11:14:20 AM;1.39;98.600;26.510;26675.000;27.500
27.03.17;11:14:35 AM;1.64;98.610;26.510;26673.000;27.500
27.03.17;11:14:50 AM;1.89;97.990;26.570;26670.000;27.500
27.03.17;11:15:05 AM;2.14;97.990;26.570;26787.000;27.500
27.03.17;11:15:20 AM;2.39;98.080;26.560;26799.000;27.500
27.03.17;11:15:35 AM;2.64;97.920;26.580;26802.000;27.500
27.03.17;11:15:50 AM;2.89;97.730;26.600;26830.000;27.500
27.03.17;11:16:05 AM;3.14;97.710;26.600;26847.000;27.500
27.03.17;11:16:20 AM;3.39;97.950;26.580;26819.000;27.500
27.03.17;11:16:35 AM;3.64;97.300;26.650;26865.000;27.500
27.03.17;11:16:50 AM;3.89;97.300;26.650;26892.000;27.500
27.03.17;11:17:05 AM;4.14;97.400;26.640;26921.000;27.500
27.03.17;11:17:20 AM;4.39;96.890;26.690;26914.000;27.500
27.03.17;11:17:35 AM;4.64;97.010;26.680;26952.000;27.500
27.03.17;11:17:50 AM;4.89;96.600;26.720;26942.000;27.500
27.03.17;11:18:05 AM;5.14;96.930;26.690;26962.000;27.500
