27.03.17/11:12 AM SW ver:OXY10v3_33
Header Ch-3
Description: Q10RAMP-27.5CR-D29
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 101116
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:12:57 AM;0.00;98.130;26.560;25222.000;27.500
27.03.17;11:12:58 AM;0.02;98.080;26.560;25201.000;27.500
27.03.17;11:13:07 AM;0.16;97.580;26.620;25212.000;27.500
27.03.17;11:13:22 AM;0.41;98.700;26.500;25228.000;27.500
27.03.17;11:13:37 AM;0.66;97.870;26.590;25219.000;27.500
27.03.17;11:13:52 AM;0.91;97.690;26.610;25235.000;27.500
27.03.17;11:14:07 AM;1.16;97.850;26.590;25280.000;27.500
27.03.17;11:14:22 AM;1.41;98.390;26.530;25280.000;27.500
27.03.17;11:14:37 AM;1.66;98.300;26.540;25280.000;27.500
27.03.17;11:14:52 AM;1.91;97.690;26.610;25306.000;27.500
27.03.17;11:15:07 AM;2.16;97.720;26.600;26651.000;27.500
27.03.17;11:15:22 AM;2.41;97.200;26.660;26645.000;27.500
27.03.17;11:15:37 AM;2.66;97.650;26.610;26678.000;27.500
27.03.17;11:15:52 AM;2.91;97.090;26.670;26741.000;27.500
27.03.17;11:16:07 AM;3.16;96.870;26.690;26735.000;27.500
27.03.17;11:16:22 AM;3.41;97.140;26.660;26769.000;27.500
27.03.17;11:16:37 AM;3.66;96.930;26.690;26777.000;27.500
27.03.17;11:16:52 AM;3.91;97.290;26.650;26802.000;27.500
27.03.17;11:17:07 AM;4.16;96.440;26.740;26798.000;27.500
27.03.17;11:17:22 AM;4.41;96.200;26.770;26832.000;27.500
27.03.17;11:17:37 AM;4.66;96.880;26.690;26839.000;27.500
27.03.17;11:17:52 AM;4.91;96.540;26.730;26864.000;27.500
27.03.17;11:18:07 AM;5.16;96.840;26.700;26874.000;27.500
27.03.17;11:18:22 AM;5.41;96.400;26.740;26908.000;27.500
27.03.17;11:18:37 AM;5.66;96.040;26.780;26918.000;27.500
27.03.17;11:18:52 AM;5.91;95.890;26.800;26924.000;27.500
27.03.17;11:19:07 AM;6.16;96.630;26.720;26973.000;27.500
27.03.17;11:19:22 AM;6.41;95.640;26.830;26995.000;27.500
27.03.17;11:19:37 AM;6.66;96.000;26.790;26986.000;27.500
27.03.17;11:19:52 AM;6.91;95.900;26.800;27000.000;27.500
27.03.17;11:20:07 AM;7.16;95.500;26.840;27041.000;27.500
27.03.17;11:20:22 AM;7.41;96.220;26.760;26987.000;27.500
27.03.17;11:20:37 AM;7.66;94.710;26.930;27017.000;27.500
27.03.17;11:20:52 AM;7.91;95.450;26.850;27014.000;27.500
27.03.17;11:21:07 AM;8.16;95.000;26.900;27104.000;27.500
27.03.17;11:21:22 AM;8.41;94.830;26.920;27115.000;27.500
27.03.17;11:21:37 AM;8.66;94.980;26.900;27076.000;27.500
27.03.17;11:21:52 AM;8.91;94.730;26.930;27184.000;27.500
