27.03.17/11:12 AM SW ver:OXY10v3_33
Header Ch-4
Description: Q10RAMP-27.5CR-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 97878
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:12:58 AM;0.00;97.780;26.600;25474.000;27.500
27.03.17;11:12:59 AM;0.02;97.450;26.630;25447.000;27.500
27.03.17;11:13:08 AM;0.16;97.560;26.620;25464.000;27.500
27.03.17;11:13:23 AM;0.41;97.520;26.620;25442.000;27.500
27.03.17;11:13:38 AM;0.66;97.470;26.630;25505.000;27.500
27.03.17;11:13:53 AM;0.91;97.160;26.660;25482.000;27.500
27.03.17;11:14:08 AM;1.16;97.140;26.660;25470.000;27.500
27.03.17;11:14:23 AM;1.41;97.280;26.650;25482.000;27.500
27.03.17;11:14:38 AM;1.66;96.910;26.690;25512.000;27.500
27.03.17;11:14:53 AM;1.91;96.310;26.750;25461.000;27.500
27.03.17;11:15:08 AM;2.16;97.580;26.620;25478.000;27.500
27.03.17;11:15:23 AM;2.41;97.460;26.630;25492.000;27.500
27.03.17;11:15:38 AM;2.66;97.450;26.630;25497.000;27.500
27.03.17;11:15:53 AM;2.91;97.050;26.670;25536.000;27.500
27.03.17;11:16:08 AM;3.16;97.170;26.660;25474.000;27.500
27.03.17;11:16:23 AM;3.41;96.950;26.680;25494.000;27.500
27.03.17;11:16:38 AM;3.66;96.640;26.720;25506.000;27.500
27.03.17;11:16:53 AM;3.91;96.850;26.700;25528.000;27.500
27.03.17;11:17:08 AM;4.16;97.200;26.660;25530.000;27.500
27.03.17;11:17:23 AM;4.41;97.050;26.670;25523.000;27.500
27.03.17;11:17:38 AM;4.66;96.570;26.730;25509.000;27.500
27.03.17;11:17:53 AM;4.91;96.600;26.720;25549.000;27.500
27.03.17;11:18:08 AM;5.16;97.050;26.670;25529.000;27.500
27.03.17;11:18:23 AM;5.41;96.520;26.730;25523.000;27.500
27.03.17;11:18:38 AM;5.66;97.040;26.670;25496.000;27.500
27.03.17;11:18:53 AM;5.91;96.910;26.690;25523.000;27.500
27.03.17;11:19:08 AM;6.16;96.610;26.720;25511.000;27.500
27.03.17;11:19:23 AM;6.42;96.880;26.690;25528.000;27.500
27.03.17;11:19:38 AM;6.66;96.530;26.730;25519.000;27.500
27.03.17;11:19:53 AM;6.91;97.170;26.660;25524.000;27.500
27.03.17;11:20:08 AM;7.16;96.400;26.740;25528.000;27.500
27.03.17;11:20:23 AM;7.41;96.770;26.700;25487.000;27.500
27.03.17;11:20:38 AM;7.66;95.290;26.870;25527.000;27.500
27.03.17;11:20:53 AM;7.91;95.830;26.810;25501.000;27.500
27.03.17;11:21:08 AM;8.16;96.330;26.750;25591.000;27.500
27.03.17;11:21:23 AM;8.41;96.540;26.730;25575.000;27.500
27.03.17;11:21:38 AM;8.66;96.420;26.740;25568.000;27.500
27.03.17;11:21:53 AM;8.91;96.690;26.710;25494.000;27.500
27.03.17;11:22:08 AM;9.16;96.030;26.780;25566.000;27.500
27.03.17;11:22:23 AM;9.41;96.350;26.750;25583.000;27.500
27.03.17;11:22:38 AM;9.66;96.530;26.730;25539.000;27.500
27.03.17;11:22:53 AM;9.91;96.230;26.760;25524.000;27.500
27.03.17;11:23:08 AM;10.16;96.440;26.740;25586.000;27.500
27.03.17;11:23:23 AM;10.41;96.010;26.790;25526.000;27.500
27.03.17;11:23:38 AM;10.66;96.400;26.740;25598.000;27.500
27.03.17;11:23:53 AM;10.91;96.370;26.750;25585.000;27.500
27.03.17;11:24:08 AM;11.16;96.660;26.720;25554.000;27.500
27.03.17;11:24:23 AM;11.41;96.490;26.730;25578.000;27.500
27.03.17;11:24:38 AM;11.66;96.160;26.770;25589.000;27.500
27.03.17;11:24:53 AM;11.91;96.120;26.770;25572.000;27.500
27.03.17;11:25:08 AM;12.16;96.300;26.760;25615.000;27.500
27.03.17;11:25:23 AM;12.41;95.920;26.800;25587.000;27.500
27.03.17;11:25:38 AM;12.66;95.800;26.810;25530.000;27.500
27.03.17;11:25:53 AM;12.91;96.470;26.740;25594.000;27.500
27.03.17;11:26:08 AM;13.16;96.980;26.680;25552.000;27.500
27.03.17;11:26:23 AM;13.41;96.910;26.690;25532.000;27.500
27.03.17;11:26:38 AM;13.66;95.960;26.790;25585.000;27.500
27.03.17;11:26:53 AM;13.91;96.080;26.780;25608.000;27.500
27.03.17;11:27:08 AM;14.16;96.050;26.780;25594.000;27.500
27.03.17;11:27:23 AM;14.41;96.150;26.770;25631.000;27.500
27.03.17;11:27:38 AM;14.66;95.750;26.820;25502.000;27.500
27.03.17;11:27:53 AM;14.91;95.560;26.840;25660.000;27.500
27.03.17;11:28:08 AM;15.16;95.910;26.800;25568.000;27.500
27.03.17;11:28:23 AM;15.41;96.500;26.730;25623.000;27.500
27.03.17;11:28:38 AM;15.66;97.080;26.670;25537.000;27.500
27.03.17;11:28:53 AM;15.91;96.290;26.760;25555.000;27.500
27.03.17;11:29:08 AM;16.16;95.760;26.810;25512.000;27.500
27.03.17;11:29:23 AM;16.41;96.100;26.780;25442.000;27.500
27.03.17;11:29:38 AM;16.66;97.170;26.660;25476.000;27.500
27.03.17;11:29:53 AM;16.91;96.590;26.720;25487.000;27.500
27.03.17;11:30:08 AM;17.16;95.760;26.810;25527.000;27.500
27.03.17;11:30:23 AM;17.41;96.100;26.780;25550.000;27.500
27.03.17;11:30:38 AM;17.66;95.870;26.800;25452.000;27.500
27.03.17;11:30:53 AM;17.91;96.230;26.760;25447.000;27.500
27.03.17;11:31:08 AM;18.16;96.460;26.740;25483.000;27.500
27.03.17;11:31:23 AM;18.41;96.140;26.770;25520.000;27.500
27.03.17;11:31:38 AM;18.66;95.510;26.840;25539.000;27.500
27.03.17;11:31:53 AM;18.91;96.100;26.780;25524.000;27.500
27.03.17;11:32:08 AM;19.17;95.370;26.860;25478.000;27.500
27.03.17;11:32:23 AM;19.41;95.520;26.840;25462.000;27.500
27.03.17;11:32:38 AM;19.66;95.340;26.860;25489.000;27.500
27.03.17;11:32:53 AM;19.91;95.360;26.860;25509.000;27.500
27.03.17;11:33:08 AM;20.16;95.490;26.840;25514.000;27.500
27.03.17;11:33:23 AM;20.41;95.780;26.810;25481.000;27.500
27.03.17;11:33:38 AM;20.66;96.300;26.760;25488.000;27.500
27.03.17;11:33:53 AM;20.91;95.490;26.840;25574.000;27.500
27.03.17;11:34:08 AM;21.16;94.920;26.910;25607.000;27.500
27.03.17;11:34:23 AM;21.41;95.530;26.840;25529.000;27.500
27.03.17;11:34:38 AM;21.66;96.080;26.780;25467.000;27.500
