27.03.17/11:12 AM SW ver:OXY10v3_33
Header Ch-5
Description: Q10RAMP-27.5CR-E3
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 100294
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:12:59 AM;0.00;97.130;26.670;34381.000;27.500
27.03.17;11:13:01 AM;0.02;97.240;26.650;34375.000;27.500
27.03.17;11:13:09 AM;0.16;96.990;26.680;34415.000;27.500
27.03.17;11:13:24 AM;0.41;97.350;26.640;34427.000;27.500
27.03.17;11:13:39 AM;0.66;97.120;26.670;34418.000;27.500
27.03.17;11:13:54 AM;0.91;96.950;26.680;34442.000;27.500
27.03.17;11:14:09 AM;1.16;96.800;26.700;34468.000;27.500
27.03.17;11:14:24 AM;1.41;96.780;26.700;34458.000;27.500
27.03.17;11:14:39 AM;1.66;96.710;26.710;34496.000;27.500
27.03.17;11:14:54 AM;1.91;96.470;26.740;35025.000;27.500
27.03.17;11:15:09 AM;2.16;96.320;26.750;34993.000;27.500
27.03.17;11:15:24 AM;2.41;96.110;26.780;34970.000;27.500
27.03.17;11:15:39 AM;2.66;95.930;26.800;35014.000;27.500
27.03.17;11:15:54 AM;2.91;96.220;26.760;35047.000;27.500
27.03.17;11:16:09 AM;3.16;95.990;26.790;35045.000;27.500
27.03.17;11:16:24 AM;3.41;95.900;26.800;35028.000;27.500
27.03.17;11:16:39 AM;3.66;95.780;26.810;35087.000;27.500
27.03.17;11:16:54 AM;3.91;95.900;26.800;35067.000;27.500
27.03.17;11:17:09 AM;4.16;95.560;26.840;35086.000;27.500
27.03.17;11:17:24 AM;4.41;95.490;26.840;35131.000;27.500
27.03.17;11:17:39 AM;4.66;95.560;26.840;35137.000;27.500
27.03.17;11:17:54 AM;4.91;95.890;26.800;35173.000;27.500
27.03.17;11:18:09 AM;5.16;95.160;26.880;35192.000;27.500
27.03.17;11:18:24 AM;5.41;95.410;26.850;35216.000;27.500
27.03.17;11:18:39 AM;5.66;95.140;26.880;35238.000;27.500
27.03.17;11:18:54 AM;5.91;95.400;26.850;35243.000;27.500
27.03.17;11:19:09 AM;6.16;95.280;26.870;35262.000;27.500
27.03.17;11:19:24 AM;6.41;94.870;26.910;35282.000;27.500
27.03.17;11:19:39 AM;6.66;95.200;26.880;35289.000;27.500
27.03.17;11:19:54 AM;6.91;94.990;26.900;35316.000;27.500
27.03.17;11:20:09 AM;7.16;94.630;26.940;35318.000;27.500
27.03.17;11:20:24 AM;7.41;94.690;26.930;35318.000;27.500
27.03.17;11:20:39 AM;7.66;94.310;26.970;35346.000;27.500
27.03.17;11:20:54 AM;7.91;94.340;26.970;35340.000;27.500
27.03.17;11:21:09 AM;8.16;94.590;26.940;35321.000;27.500
27.03.17;11:21:24 AM;8.41;94.350;26.970;35400.000;27.500
27.03.17;11:21:39 AM;8.66;94.450;26.960;35508.000;27.500
27.03.17;11:21:54 AM;8.91;94.330;26.970;35474.000;27.500
27.03.17;11:22:09 AM;9.16;93.570;27.060;35514.000;27.500
27.03.17;11:22:24 AM;9.41;94.200;26.990;35535.000;27.500
27.03.17;11:22:39 AM;9.66;93.840;27.030;35558.000;27.500
27.03.17;11:22:54 AM;9.91;94.560;26.950;35498.000;27.500
27.03.17;11:23:09 AM;10.16;94.100;27.000;35539.000;27.500
27.03.17;11:23:24 AM;10.41;94.070;27.000;35495.000;27.500
27.03.17;11:23:39 AM;10.66;94.210;26.990;35535.000;27.500
27.03.17;11:23:54 AM;10.91;93.760;27.040;35538.000;27.500
27.03.17;11:24:09 AM;11.16;93.840;27.030;35515.000;27.500
27.03.17;11:24:24 AM;11.41;94.500;26.950;35489.000;27.500
27.03.17;11:24:39 AM;11.66;93.710;27.040;35569.000;27.500
27.03.17;11:24:54 AM;11.91;94.780;26.920;35542.000;27.500
27.03.17;11:25:09 AM;12.16;94.200;26.990;35487.000;27.500
27.03.17;11:25:24 AM;12.41;94.050;27.000;35527.000;27.500
27.03.17;11:25:39 AM;12.66;94.380;26.970;35467.000;27.500
27.03.17;11:25:54 AM;12.91;94.380;26.970;35460.000;27.500
27.03.17;11:26:09 AM;13.16;95.170;26.880;35458.000;27.500
27.03.17;11:26:24 AM;13.41;94.540;26.950;35462.000;27.500
27.03.17;11:26:39 AM;13.66;94.190;26.990;35450.000;27.500
27.03.17;11:26:54 AM;13.91;94.130;26.990;35439.000;27.500
27.03.17;11:27:09 AM;14.16;94.450;26.960;35470.000;27.500
27.03.17;11:27:24 AM;14.41;94.620;26.940;35396.000;27.500
27.03.17;11:27:39 AM;14.66;94.650;26.940;35366.000;27.500
27.03.17;11:27:54 AM;14.91;94.750;26.930;35374.000;27.500
27.03.17;11:28:09 AM;15.16;96.060;26.780;35418.000;27.500
27.03.17;11:28:24 AM;15.41;94.370;26.970;35447.000;27.500
27.03.17;11:28:39 AM;15.66;95.260;26.870;35566.000;27.500
27.03.17;11:28:54 AM;15.91;94.360;26.970;35484.000;27.500
27.03.17;11:29:09 AM;16.16;95.480;26.840;35442.000;27.500
27.03.17;11:29:24 AM;16.41;95.520;26.840;35298.000;27.500
27.03.17;11:29:39 AM;16.66;94.830;26.920;35408.000;27.500
27.03.17;11:29:54 AM;16.91;95.880;26.800;35324.000;27.500
27.03.17;11:30:09 AM;17.16;95.700;26.820;35323.000;27.500
