27.03.17/11:13 AM SW ver:OXY10v3_33
Header Ch-6
Description: Q10RAMP-27.5CR-F1Y
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 99538
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:13:00 AM;0.00;98.870;26.480;28027.000;27.500
27.03.17;11:13:01 AM;0.02;100.070;26.350;27958.000;27.500
27.03.17;11:13:10 AM;0.16;98.400;26.530;27983.000;27.500
27.03.17;11:13:25 AM;0.41;98.780;26.490;27996.000;27.500
27.03.17;11:13:40 AM;0.66;98.760;26.490;28022.000;27.500
27.03.17;11:13:55 AM;0.91;98.590;26.510;28066.000;27.500
27.03.17;11:14:10 AM;1.16;99.500;26.410;28039.000;27.500
27.03.17;11:14:25 AM;1.41;98.880;26.480;28022.000;27.500
27.03.17;11:14:40 AM;1.66;99.000;26.470;28037.000;27.500
27.03.17;11:14:55 AM;1.92;98.890;26.480;28136.000;27.500
27.03.17;11:15:10 AM;2.16;98.840;26.480;28102.000;27.500
27.03.17;11:15:25 AM;2.41;98.440;26.530;28102.000;27.500
27.03.17;11:15:40 AM;2.66;98.270;26.540;28106.000;27.500
27.03.17;11:15:55 AM;2.91;96.950;26.680;28169.000;27.500
27.03.17;11:16:10 AM;3.16;97.630;26.610;28121.000;27.500
27.03.17;11:16:25 AM;3.41;99.090;26.460;28148.000;27.500
27.03.17;11:16:40 AM;3.66;98.070;26.560;28201.000;27.500
27.03.17;11:16:55 AM;3.91;97.870;26.590;28183.000;27.500
27.03.17;11:17:10 AM;4.16;98.080;26.560;28163.000;27.500
27.03.17;11:17:25 AM;4.41;98.140;26.560;28164.000;27.500
27.03.17;11:17:40 AM;4.66;97.060;26.670;28177.000;27.500
27.03.17;11:17:55 AM;4.91;97.170;26.660;28215.000;27.500
27.03.17;11:18:10 AM;5.16;97.330;26.640;28218.000;27.500
27.03.17;11:18:25 AM;5.41;97.110;26.670;28216.000;27.500
27.03.17;11:18:40 AM;5.66;98.100;26.560;28234.000;27.500
27.03.17;11:18:55 AM;5.91;97.170;26.660;28240.000;27.500
27.03.17;11:19:10 AM;6.16;96.730;26.710;28239.000;27.500
27.03.17;11:19:25 AM;6.41;97.570;26.620;28269.000;27.500
27.03.17;11:19:40 AM;6.66;96.600;26.720;28259.000;27.500
27.03.17;11:19:55 AM;6.91;97.790;26.590;28274.000;27.500
27.03.17;11:20:10 AM;7.16;97.070;26.670;28300.000;27.500
27.03.17;11:20:25 AM;7.41;97.340;26.640;28272.000;27.500
27.03.17;11:20:40 AM;7.66;95.980;26.790;28280.000;27.500
27.03.17;11:20:55 AM;7.91;96.410;26.740;28340.000;27.500
27.03.17;11:21:10 AM;8.16;97.770;26.600;28314.000;27.500
27.03.17;11:21:25 AM;8.41;97.170;26.660;28292.000;27.500
27.03.17;11:21:40 AM;8.66;96.810;26.700;28368.000;27.500
27.03.17;11:21:55 AM;8.91;96.220;26.760;28353.000;27.500
27.03.17;11:22:10 AM;9.16;96.700;26.710;28327.000;27.500
27.03.17;11:22:25 AM;9.41;95.850;26.800;28354.000;27.500
27.03.17;11:22:40 AM;9.66;96.030;26.780;28315.000;27.500
27.03.17;11:22:55 AM;9.91;97.050;26.670;28383.000;27.500
27.03.17;11:23:10 AM;10.16;96.410;26.740;28350.000;27.500
27.03.17;11:23:25 AM;10.41;96.780;26.700;28360.000;27.500
27.03.17;11:23:40 AM;10.66;97.160;26.660;28387.000;27.500
27.03.17;11:23:55 AM;10.91;96.970;26.680;28358.000;27.500
27.03.17;11:24:10 AM;11.16;97.210;26.660;28318.000;27.500
27.03.17;11:24:25 AM;11.41;95.890;26.800;28419.000;27.500
27.03.17;11:24:40 AM;11.66;96.670;26.710;28411.000;27.500
27.03.17;11:24:55 AM;11.91;96.520;26.730;28380.000;27.500
27.03.17;11:25:10 AM;12.16;96.400;26.740;28403.000;27.500
27.03.17;11:25:25 AM;12.41;97.810;26.590;28405.000;27.500
27.03.17;11:25:40 AM;12.66;95.660;26.820;28433.000;27.500
27.03.17;11:25:55 AM;12.91;97.160;26.660;28360.000;27.500
27.03.17;11:26:10 AM;13.16;96.630;26.720;28277.000;27.500
27.03.17;11:26:25 AM;13.41;97.000;26.680;28327.000;27.500
27.03.17;11:26:40 AM;13.66;97.000;26.680;28392.000;27.500
27.03.17;11:26:55 AM;13.91;97.040;26.670;28377.000;27.500
27.03.17;11:27:10 AM;14.16;97.170;26.660;28306.000;27.500
27.03.17;11:27:25 AM;14.41;97.300;26.650;28241.000;27.500
27.03.17;11:27:40 AM;14.66;96.550;26.730;28357.000;27.500
27.03.17;11:27:55 AM;14.91;96.780;26.700;28330.000;27.500
27.03.17;11:28:10 AM;15.16;96.600;26.720;28411.000;27.500
27.03.17;11:28:25 AM;15.41;97.760;26.600;28307.000;27.500
27.03.17;11:28:40 AM;15.66;97.150;26.660;28219.000;27.500
27.03.17;11:28:55 AM;15.91;96.820;26.700;28219.000;27.500
27.03.17;11:29:10 AM;16.16;97.920;26.580;28137.000;27.500
27.03.17;11:29:25 AM;16.41;97.200;26.660;28245.000;27.500
27.03.17;11:29:40 AM;16.66;95.210;26.870;28239.000;27.500
27.03.17;11:29:55 AM;16.91;98.460;26.520;28283.000;27.500
27.03.17;11:30:10 AM;17.16;96.260;26.760;28193.000;27.500
27.03.17;11:30:25 AM;17.41;97.040;26.680;28132.000;27.500
27.03.17;11:30:40 AM;17.66;97.240;26.650;28184.000;27.500
27.03.17;11:30:55 AM;17.91;99.020;26.460;28199.000;27.500
