27.03.17/11:13 AM SW ver:OXY10v3_33
Header Ch-7
Description: Q10RAMP-27.5CR-H2
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 95927
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:13:02 AM;0.00;97.480;26.630;28449.000;27.500
27.03.17;11:13:03 AM;0.02;97.770;26.600;28426.000;27.500
27.03.17;11:13:11 AM;0.16;98.300;26.540;28443.000;27.500
27.03.17;11:13:26 AM;0.41;97.440;26.630;28487.000;27.500
27.03.17;11:13:41 AM;0.66;97.010;26.680;28506.000;27.500
27.03.17;11:13:56 AM;0.91;97.110;26.670;28539.000;27.500
27.03.17;11:14:11 AM;1.16;96.970;26.680;28529.000;27.500
27.03.17;11:14:26 AM;1.41;97.000;26.680;28564.000;27.500
27.03.17;11:14:41 AM;1.66;96.470;26.740;28582.000;27.500
27.03.17;11:14:56 AM;1.91;96.210;26.760;28617.000;27.500
27.03.17;11:15:11 AM;2.16;96.370;26.750;28804.000;27.500
27.03.17;11:15:26 AM;2.41;96.050;26.780;28850.000;27.500
27.03.17;11:15:41 AM;2.66;95.950;26.790;28832.000;27.500
27.03.17;11:15:56 AM;2.91;95.990;26.790;28866.000;27.500
27.03.17;11:16:11 AM;3.16;95.450;26.850;28888.000;27.500
27.03.17;11:16:26 AM;3.41;95.500;26.840;28926.000;27.500
27.03.17;11:16:41 AM;3.66;95.390;26.850;28947.000;27.500
27.03.17;11:16:56 AM;3.91;95.290;26.870;28982.000;27.500
27.03.17;11:17:11 AM;4.16;94.760;26.920;29037.000;27.500
27.03.17;11:17:26 AM;4.41;94.700;26.930;29044.000;27.500
27.03.17;11:17:41 AM;4.66;94.140;26.990;29046.000;27.500
27.03.17;11:17:56 AM;4.91;94.640;26.940;29085.000;27.500
27.03.17;11:18:11 AM;5.16;93.920;27.020;29117.000;27.500
27.03.17;11:18:26 AM;5.41;94.000;27.010;29158.000;27.500
27.03.17;11:18:41 AM;5.66;93.990;27.010;29162.000;27.500
27.03.17;11:18:56 AM;5.91;93.960;27.010;29227.000;27.500
27.03.17;11:19:11 AM;6.16;93.840;27.030;29217.000;27.500
27.03.17;11:19:26 AM;6.41;93.190;27.100;29241.000;27.500
27.03.17;11:19:41 AM;6.66;92.790;27.150;29312.000;27.500
27.03.17;11:19:56 AM;6.91;93.520;27.060;29298.000;27.500
27.03.17;11:20:11 AM;7.16;92.550;27.170;29318.000;27.500
27.03.17;11:20:26 AM;7.41;92.780;27.150;29314.000;27.500
27.03.17;11:20:41 AM;7.66;92.690;27.160;29403.000;27.500
27.03.17;11:20:56 AM;7.91;92.490;27.180;29433.000;27.500
27.03.17;11:21:11 AM;8.16;92.590;27.170;29416.000;27.500
27.03.17;11:21:26 AM;8.41;92.220;27.210;29443.000;27.500
27.03.17;11:21:41 AM;8.66;91.400;27.310;29474.000;27.500
27.03.17;11:21:56 AM;8.91;91.830;27.260;29463.000;27.500
27.03.17;11:22:11 AM;9.16;91.500;27.290;29490.000;27.500
27.03.17;11:22:26 AM;9.41;91.680;27.270;29492.000;27.500
27.03.17;11:22:41 AM;9.66;92.000;27.240;29502.000;27.500
27.03.17;11:22:56 AM;9.91;91.730;27.270;29511.000;27.500
27.03.17;11:23:11 AM;10.16;91.390;27.310;29510.000;27.500
27.03.17;11:23:26 AM;10.41;91.670;27.270;29519.000;27.500
27.03.17;11:23:41 AM;10.66;91.710;27.270;29556.000;27.500
27.03.17;11:23:56 AM;10.91;91.970;27.240;29533.000;27.500
27.03.17;11:24:11 AM;11.16;91.520;27.290;29543.000;27.500
27.03.17;11:24:26 AM;11.41;91.830;27.260;29542.000;27.500
27.03.17;11:24:41 AM;11.66;91.840;27.250;29532.000;27.500
27.03.17;11:24:56 AM;11.91;91.790;27.260;29535.000;27.500
27.03.17;11:25:11 AM;12.16;91.950;27.240;29523.000;27.500
27.03.17;11:25:26 AM;12.41;91.430;27.300;29518.000;27.500
27.03.17;11:25:41 AM;12.66;91.620;27.280;29486.000;27.500
27.03.17;11:25:56 AM;12.91;92.380;27.190;29419.000;27.500
27.03.17;11:26:11 AM;13.16;91.970;27.240;29426.000;27.500
27.03.17;11:26:26 AM;13.41;92.630;27.160;29401.000;27.500
27.03.17;11:26:41 AM;13.66;91.940;27.240;29416.000;27.500
27.03.17;11:26:56 AM;13.91;93.050;27.120;29426.000;27.500
