27.03.17/11:13 AM SW ver:OXY10v3_33
Header Ch-8
Description: Q10RAMP-27.5CR-J7
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 98500
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;11:13:02 AM;0.00;97.300;26.650;26132.000;27.500
27.03.17;11:13:04 AM;0.03;96.240;26.760;26134.000;27.500
27.03.17;11:13:12 AM;0.16;96.680;26.710;26131.000;27.500
27.03.17;11:13:27 AM;0.41;97.040;26.680;26141.000;27.500
27.03.17;11:13:42 AM;0.66;97.050;26.670;26152.000;27.500
27.03.17;11:13:57 AM;0.91;96.830;26.700;26178.000;27.500
27.03.17;11:14:12 AM;1.16;96.600;26.720;26177.000;27.500
27.03.17;11:14:27 AM;1.41;96.180;26.770;26186.000;27.500
27.03.17;11:14:42 AM;1.66;96.370;26.750;26196.000;27.500
27.03.17;11:14:57 AM;1.91;96.400;26.740;27859.000;27.500
27.03.17;11:15:12 AM;2.16;95.610;26.830;27869.000;27.500
27.03.17;11:15:27 AM;2.41;96.320;26.750;27860.000;27.500
27.03.17;11:15:42 AM;2.66;95.880;26.800;27861.000;27.500
27.03.17;11:15:57 AM;2.91;95.530;26.840;27862.000;27.500
27.03.17;11:16:12 AM;3.16;95.680;26.820;27919.000;27.500
27.03.17;11:16:27 AM;3.41;95.790;26.810;27886.000;27.500
27.03.17;11:16:42 AM;3.66;95.560;26.840;27933.000;27.500
27.03.17;11:16:57 AM;3.91;95.760;26.810;27932.000;27.500
27.03.17;11:17:12 AM;4.16;95.470;26.850;27930.000;27.500
27.03.17;11:17:27 AM;4.41;95.640;26.830;27941.000;27.500
27.03.17;11:17:42 AM;4.66;95.090;26.890;27977.000;27.500
27.03.17;11:17:57 AM;4.91;94.920;26.910;27984.000;27.500
27.03.17;11:18:12 AM;5.16;95.020;26.900;28002.000;27.500
27.03.17;11:18:27 AM;5.41;95.300;26.860;27999.000;27.500
27.03.17;11:18:42 AM;5.66;95.040;26.890;28003.000;27.500
27.03.17;11:18:57 AM;5.91;94.880;26.910;28031.000;27.500
