27.03.17/12:13 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q10RAMP-30C-B35
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100067
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:13:55 PM;0.00;97.950;26.160;16570.000;30.000
27.03.17;12:13:56 PM;0.02;98.090;26.140;16565.000;30.000
27.03.17;12:14:08 PM;0.21;97.980;26.160;16578.000;30.000
27.03.17;12:14:23 PM;0.46;97.320;26.230;16583.000;30.000
27.03.17;12:14:38 PM;0.71;97.180;26.240;16631.000;30.000
27.03.17;12:14:53 PM;0.95;96.560;26.310;16639.000;30.000
27.03.17;12:15:08 PM;1.21;96.350;26.330;16657.000;30.000
27.03.17;12:15:23 PM;1.45;96.600;26.300;16687.000;30.000
27.03.17;12:15:38 PM;1.71;96.930;26.270;16705.000;30.000
27.03.17;12:15:53 PM;1.96;96.140;26.350;16726.000;30.000
27.03.17;12:16:08 PM;2.21;96.610;26.300;16762.000;30.000
27.03.17;12:16:23 PM;2.46;96.070;26.360;16768.000;30.000
27.03.17;12:16:38 PM;2.70;95.740;26.400;16795.000;30.000
27.03.17;12:16:53 PM;2.95;94.690;26.510;16804.000;30.000
27.03.17;12:17:08 PM;3.21;95.110;26.460;16837.000;30.000
27.03.17;12:17:23 PM;3.45;94.590;26.520;16855.000;30.000
27.03.17;12:17:38 PM;3.71;93.960;26.590;16870.000;30.000
27.03.17;12:17:53 PM;3.96;95.010;26.470;16881.000;30.000
27.03.17;12:18:08 PM;4.21;94.300;26.550;16926.000;30.000
27.03.17;12:18:23 PM;4.46;94.940;26.480;16941.000;30.000
27.03.17;12:18:38 PM;4.71;93.890;26.600;16952.000;30.000
27.03.17;12:18:53 PM;4.96;93.070;26.690;16986.000;30.000
27.03.17;12:19:08 PM;5.20;93.770;26.610;16994.000;30.000
27.03.17;12:19:23 PM;5.46;92.950;26.700;17015.000;30.000
27.03.17;12:19:38 PM;5.70;92.680;26.730;17051.000;30.000
27.03.17;12:19:53 PM;5.96;92.640;26.740;17043.000;30.000
27.03.17;12:20:08 PM;6.21;92.710;26.730;17047.000;30.000
27.03.17;12:20:23 PM;6.46;91.660;26.850;17151.000;30.000
27.03.17;12:20:38 PM;6.71;93.070;26.690;17081.000;30.000
27.03.17;12:20:53 PM;6.96;89.900;27.050;17157.000;30.000
27.03.17;12:21:08 PM;7.21;91.420;26.880;17127.000;30.000
27.03.17;12:21:23 PM;7.46;91.120;26.910;17081.000;30.000
27.03.17;12:21:38 PM;7.71;93.270;26.670;17109.000;30.000
27.03.17;12:21:53 PM;7.96;90.300;27.010;17140.000;30.000
27.03.17;12:22:08 PM;8.21;91.580;26.860;17175.000;30.000
27.03.17;12:22:23 PM;8.46;91.730;26.840;17109.000;30.000
27.03.17;12:22:38 PM;8.71;91.130;26.910;17127.000;30.000
27.03.17;12:22:53 PM;8.96;91.980;26.810;17131.000;30.000
27.03.17;12:23:08 PM;9.21;92.280;26.780;17149.000;30.000
27.03.17;12:23:23 PM;9.45;92.160;26.790;17166.000;30.000
27.03.17;12:23:38 PM;9.71;92.450;26.760;17183.000;30.000
27.03.17;12:23:53 PM;9.96;92.450;26.760;17087.000;30.000
27.03.17;12:24:08 PM;10.20;91.600;26.860;17103.000;30.000
27.03.17;12:24:23 PM;10.46;93.150;26.680;17082.000;30.000
27.03.17;12:24:38 PM;10.71;93.010;26.700;17048.000;30.000
27.03.17;12:24:53 PM;10.96;93.190;26.680;17067.000;30.000
27.03.17;12:25:08 PM;11.21;92.430;26.760;17019.000;30.000
27.03.17;12:25:23 PM;11.46;94.690;26.510;16939.000;30.000
27.03.17;12:25:38 PM;11.71;93.660;26.620;16935.000;30.000
27.03.17;12:25:53 PM;11.96;94.140;26.570;16912.000;30.000
27.03.17;12:26:08 PM;12.21;94.000;26.590;16886.000;30.000
27.03.17;12:26:23 PM;12.46;96.030;26.360;16832.000;30.000
27.03.17;12:26:38 PM;12.71;95.190;26.460;16790.000;30.000
27.03.17;12:26:53 PM;12.96;95.590;26.410;16826.000;30.000
27.03.17;12:27:08 PM;13.21;95.880;26.380;16774.000;30.000
27.03.17;12:27:23 PM;13.46;97.030;26.260;16738.000;30.000
27.03.17;12:27:38 PM;13.70;96.020;26.370;16680.000;30.000
27.03.17;12:27:53 PM;13.95;97.990;26.150;16615.000;30.000
