27.03.17/12:13 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q10RAMP-30C-C7
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 98741
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:13:56 PM;0.00;98.620;26.090;26111.000;30.000
27.03.17;12:13:57 PM;0.02;98.520;26.100;26113.000;30.000
27.03.17;12:14:10 PM;0.23;98.070;26.150;26166.000;30.000
27.03.17;12:14:25 PM;0.48;98.710;26.080;26146.000;30.000
27.03.17;12:14:40 PM;0.73;97.840;26.170;26160.000;30.000
27.03.17;12:14:55 PM;0.98;98.380;26.110;26187.000;30.000
27.03.17;12:15:10 PM;1.23;98.010;26.150;26199.000;30.000
27.03.17;12:15:25 PM;1.48;98.150;26.140;26223.000;30.000
27.03.17;12:15:40 PM;1.73;98.290;26.120;26200.000;30.000
27.03.17;12:15:55 PM;1.98;97.350;26.220;26230.000;30.000
27.03.17;12:16:10 PM;2.23;97.680;26.190;26252.000;30.000
27.03.17;12:16:25 PM;2.48;97.370;26.220;26272.000;30.000
27.03.17;12:16:40 PM;2.73;97.450;26.210;26280.000;30.000
27.03.17;12:16:55 PM;2.98;97.570;26.200;26323.000;30.000
27.03.17;12:17:10 PM;3.23;97.200;26.240;26353.000;30.000
27.03.17;12:17:25 PM;3.48;97.220;26.240;26348.000;30.000
27.03.17;12:17:40 PM;3.73;97.190;26.240;26366.000;30.000
27.03.17;12:17:55 PM;3.98;97.390;26.220;26368.000;30.000
27.03.17;12:18:10 PM;4.23;96.730;26.290;26379.000;30.000
27.03.17;12:18:25 PM;4.48;97.070;26.250;26381.000;30.000
27.03.17;12:18:40 PM;4.73;96.910;26.270;26419.000;30.000
27.03.17;12:18:55 PM;4.98;96.150;26.350;26465.000;30.000
27.03.17;12:19:10 PM;5.23;96.240;26.340;26471.000;30.000
27.03.17;12:19:25 PM;5.48;96.570;26.310;26487.000;30.000
27.03.17;12:19:40 PM;5.73;95.300;26.440;26502.000;30.000
27.03.17;12:19:55 PM;5.98;95.320;26.440;26516.000;30.000
27.03.17;12:20:10 PM;6.23;96.400;26.320;26512.000;30.000
27.03.17;12:20:25 PM;6.48;95.040;26.470;26549.000;30.000
27.03.17;12:20:40 PM;6.73;96.470;26.320;26530.000;30.000
27.03.17;12:20:55 PM;6.98;95.790;26.390;26622.000;30.000
27.03.17;12:21:10 PM;7.23;94.760;26.500;26669.000;30.000
27.03.17;12:21:25 PM;7.48;96.280;26.340;26630.000;30.000
27.03.17;12:21:40 PM;7.73;96.090;26.360;26647.000;30.000
27.03.17;12:21:55 PM;7.98;94.460;26.540;26656.000;30.000
27.03.17;12:22:10 PM;8.23;95.430;26.430;26666.000;30.000
27.03.17;12:22:25 PM;8.48;95.790;26.390;26695.000;30.000
27.03.17;12:22:40 PM;8.73;94.470;26.530;26682.000;30.000
27.03.17;12:22:55 PM;8.98;94.000;26.590;26727.000;30.000
27.03.17;12:23:10 PM;9.23;93.970;26.590;26784.000;30.000
27.03.17;12:23:25 PM;9.48;94.720;26.510;26803.000;30.000
27.03.17;12:23:40 PM;9.73;94.750;26.500;26682.000;30.000
27.03.17;12:23:55 PM;9.98;94.500;26.530;26722.000;30.000
27.03.17;12:24:10 PM;10.23;94.230;26.560;26786.000;30.000
27.03.17;12:24:25 PM;10.48;94.370;26.550;26741.000;30.000
27.03.17;12:24:40 PM;10.73;94.440;26.540;26698.000;30.000
27.03.17;12:24:55 PM;10.98;94.810;26.500;26788.000;30.000
27.03.17;12:25:10 PM;11.23;95.130;26.460;26674.000;30.000
27.03.17;12:25:25 PM;11.48;93.950;26.590;26683.000;30.000
27.03.17;12:25:40 PM;11.73;94.560;26.520;26674.000;30.000
27.03.17;12:25:55 PM;11.98;94.590;26.520;26712.000;30.000
27.03.17;12:26:10 PM;12.23;94.560;26.520;26667.000;30.000
27.03.17;12:26:25 PM;12.48;95.140;26.460;26639.000;30.000
27.03.17;12:26:40 PM;12.73;94.450;26.540;26594.000;30.000
27.03.17;12:26:55 PM;12.98;95.590;26.410;26604.000;30.000
27.03.17;12:27:10 PM;13.23;95.170;26.460;26614.000;30.000
27.03.17;12:27:25 PM;13.48;95.590;26.410;26610.000;30.000
27.03.17;12:27:40 PM;13.73;95.690;26.400;26589.000;30.000
