27.03.17/12:13 PM SW ver:OXY10v3_33
Header Ch-3
Description: Q10RAMP-30C-D29
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 101116
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:13:57 PM;0.00;98.290;26.120;26057.000;30.000
27.03.17;12:13:59 PM;0.02;98.270;26.130;26038.000;30.000
27.03.17;12:14:12 PM;0.24;98.070;26.150;26095.000;30.000
27.03.17;12:14:27 PM;0.49;98.070;26.150;26074.000;30.000
27.03.17;12:14:42 PM;0.74;97.970;26.160;26093.000;30.000
27.03.17;12:14:57 PM;0.99;97.830;26.170;26113.000;30.000
27.03.17;12:15:12 PM;1.24;97.400;26.220;26099.000;30.000
27.03.17;12:15:27 PM;1.49;97.230;26.240;26096.000;30.000
27.03.17;12:15:42 PM;1.74;97.450;26.210;26098.000;30.000
27.03.17;12:15:57 PM;1.99;97.300;26.230;26116.000;30.000
27.03.17;12:16:12 PM;2.24;98.030;26.150;26129.000;30.000
27.03.17;12:16:27 PM;2.49;97.660;26.190;26147.000;30.000
27.03.17;12:16:42 PM;2.74;97.720;26.180;26161.000;30.000
27.03.17;12:16:57 PM;2.99;96.780;26.280;26182.000;30.000
27.03.17;12:17:12 PM;3.24;96.810;26.280;26176.000;30.000
27.03.17;12:17:27 PM;3.49;96.670;26.300;26183.000;30.000
27.03.17;12:17:42 PM;3.74;97.290;26.230;26204.000;30.000
27.03.17;12:17:57 PM;3.99;96.390;26.330;26221.000;30.000
27.03.17;12:18:12 PM;4.24;97.180;26.240;26250.000;30.000
27.03.17;12:18:27 PM;4.49;96.490;26.310;26267.000;30.000
27.03.17;12:18:42 PM;4.74;96.890;26.270;26267.000;30.000
27.03.17;12:18:57 PM;4.99;96.300;26.330;26292.000;30.000
27.03.17;12:19:12 PM;5.24;96.090;26.360;26330.000;30.000
27.03.17;12:19:27 PM;5.49;95.840;26.380;26327.000;30.000
27.03.17;12:19:42 PM;5.74;95.760;26.390;26350.000;30.000
27.03.17;12:19:57 PM;5.99;95.990;26.370;26358.000;30.000
27.03.17;12:20:12 PM;6.24;96.690;26.290;26330.000;30.000
27.03.17;12:20:27 PM;6.49;96.340;26.330;26384.000;30.000
27.03.17;12:20:42 PM;6.74;95.530;26.420;26391.000;30.000
27.03.17;12:20:57 PM;6.99;95.900;26.380;26325.000;30.000
27.03.17;12:21:12 PM;7.24;95.870;26.380;26334.000;30.000
27.03.17;12:21:27 PM;7.49;96.120;26.350;26456.000;30.000
27.03.17;12:21:42 PM;7.74;95.600;26.410;26432.000;30.000
27.03.17;12:21:57 PM;7.99;94.460;26.540;26535.000;30.000
27.03.17;12:22:12 PM;8.24;96.280;26.340;26443.000;30.000
27.03.17;12:22:27 PM;8.49;94.560;26.520;26513.000;30.000
27.03.17;12:22:42 PM;8.74;94.860;26.490;26463.000;30.000
27.03.17;12:22:57 PM;8.99;94.440;26.540;26537.000;30.000
27.03.17;12:23:12 PM;9.24;94.420;26.540;26507.000;30.000
27.03.17;12:23:27 PM;9.49;95.220;26.450;26597.000;30.000
27.03.17;12:23:42 PM;9.74;94.440;26.540;26547.000;30.000
27.03.17;12:23:57 PM;9.99;95.310;26.440;26531.000;30.000
27.03.17;12:24:12 PM;10.24;93.320;26.660;26634.000;30.000
27.03.17;12:24:27 PM;10.49;94.550;26.530;26581.000;30.000
27.03.17;12:24:42 PM;10.74;93.440;26.650;26656.000;30.000
27.03.17;12:24:57 PM;10.99;92.840;26.720;26568.000;30.000
27.03.17;12:25:12 PM;11.24;93.750;26.610;26662.000;30.000
27.03.17;12:25:27 PM;11.49;93.440;26.650;26672.000;30.000
27.03.17;12:25:42 PM;11.74;94.160;26.570;26599.000;30.000
27.03.17;12:25:57 PM;11.99;94.770;26.500;26689.000;30.000
27.03.17;12:26:27 PM;12.49;94.840;26.490;26597.000;30.000
27.03.17;12:26:42 PM;12.74;93.710;26.620;26632.000;30.000
27.03.17;12:26:57 PM;12.99;94.300;26.550;26640.000;30.000
27.03.17;12:27:12 PM;13.24;94.290;26.550;26627.000;30.000
27.03.17;12:27:27 PM;13.49;93.480;26.640;26568.000;30.000
27.03.17;12:27:42 PM;13.74;94.210;26.560;26523.000;30.000
