27.03.17/12:13 PM SW ver:OXY10v3_33
Header Ch-4
Description: Q10RAMP-30C-DRIFT
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 97878
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:13:58 PM;0.00;98.020;26.150;25691.000;30.000
27.03.17;12:13:59 PM;0.02;97.420;26.220;25691.000;30.000
27.03.17;12:14:14 PM;0.26;97.460;26.210;25702.000;30.000
27.03.17;12:14:29 PM;0.51;97.550;26.200;25707.000;30.000
27.03.17;12:14:44 PM;0.76;97.190;26.240;25684.000;30.000
27.03.17;12:14:59 PM;1.01;97.640;26.190;25696.000;30.000
27.03.17;12:15:14 PM;1.26;97.140;26.240;25710.000;30.000
27.03.17;12:15:29 PM;1.51;97.510;26.210;25726.000;30.000
27.03.17;12:15:44 PM;1.76;97.300;26.230;25717.000;30.000
27.03.17;12:15:59 PM;2.01;96.370;26.330;25721.000;30.000
27.03.17;12:16:14 PM;2.26;96.760;26.290;25719.000;30.000
27.03.17;12:16:29 PM;2.51;97.510;26.210;25724.000;30.000
27.03.17;12:16:44 PM;2.76;96.910;26.270;25754.000;30.000
27.03.17;12:16:59 PM;3.01;97.230;26.240;25727.000;30.000
27.03.17;12:17:14 PM;3.26;97.020;26.260;25753.000;30.000
27.03.17;12:17:29 PM;3.51;97.010;26.260;25750.000;30.000
27.03.17;12:17:44 PM;3.76;96.630;26.300;25772.000;30.000
27.03.17;12:17:59 PM;4.01;96.830;26.280;25766.000;30.000
27.03.17;12:18:14 PM;4.26;96.840;26.280;25779.000;30.000
27.03.17;12:18:29 PM;4.51;96.120;26.350;25765.000;30.000
27.03.17;12:18:44 PM;4.76;96.400;26.320;25797.000;30.000
27.03.17;12:18:59 PM;5.01;96.820;26.280;25757.000;30.000
27.03.17;12:19:14 PM;5.26;96.690;26.290;25766.000;30.000
27.03.17;12:19:29 PM;5.51;96.120;26.350;25802.000;30.000
27.03.17;12:19:44 PM;5.76;96.520;26.310;25795.000;30.000
27.03.17;12:19:59 PM;6.01;96.470;26.320;25822.000;30.000
27.03.17;12:20:14 PM;6.26;96.810;26.280;25691.000;30.000
27.03.17;12:20:29 PM;6.51;97.360;26.220;25785.000;30.000
27.03.17;12:20:44 PM;6.76;96.480;26.320;25843.000;30.000
27.03.17;12:20:59 PM;7.01;96.570;26.310;25787.000;30.000
27.03.17;12:21:14 PM;7.26;96.370;26.330;25773.000;30.000
27.03.17;12:21:29 PM;7.51;96.540;26.310;25751.000;30.000
27.03.17;12:21:44 PM;7.76;96.660;26.300;25752.000;30.000
27.03.17;12:21:59 PM;8.01;96.190;26.350;25757.000;30.000
27.03.17;12:22:14 PM;8.26;96.330;26.330;25857.000;30.000
27.03.17;12:22:29 PM;8.51;96.710;26.290;25837.000;30.000
27.03.17;12:22:44 PM;8.76;96.120;26.350;25840.000;30.000
27.03.17;12:22:59 PM;9.01;96.590;26.300;25762.000;30.000
27.03.17;12:23:14 PM;9.26;96.860;26.270;25698.000;30.000
27.03.17;12:23:29 PM;9.51;97.620;26.190;25762.000;30.000
27.03.17;12:23:44 PM;9.76;97.010;26.260;25730.000;30.000
27.03.17;12:23:59 PM;10.01;96.270;26.340;25696.000;30.000
27.03.17;12:24:14 PM;10.26;95.980;26.370;25762.000;30.000
27.03.17;12:24:29 PM;10.51;95.750;26.390;25732.000;30.000
27.03.17;12:24:44 PM;10.76;96.380;26.330;25780.000;30.000
27.03.17;12:24:59 PM;11.01;96.980;26.260;25802.000;30.000
27.03.17;12:25:14 PM;11.26;97.560;26.200;25752.000;30.000
27.03.17;12:25:29 PM;11.51;96.950;26.270;25743.000;30.000
27.03.17;12:25:44 PM;11.76;97.630;26.190;25759.000;30.000
27.03.17;12:25:59 PM;12.01;96.480;26.320;25804.000;30.000
27.03.17;12:26:14 PM;12.26;96.610;26.300;25717.000;30.000
27.03.17;12:26:29 PM;12.51;96.770;26.280;25795.000;30.000
27.03.17;12:26:44 PM;12.76;95.130;26.460;25747.000;30.000
27.03.17;12:26:59 PM;13.01;96.780;26.280;25767.000;30.000
27.03.17;12:27:14 PM;13.26;96.170;26.350;25812.000;30.000
27.03.17;12:27:29 PM;13.51;97.000;26.260;25758.000;30.000
27.03.17;12:27:44 PM;13.76;96.470;26.320;25806.000;30.000
