27.03.17/12:14 PM SW ver:OXY10v3_33
Header Ch-5
Description: Q10RAMP-30C-E3
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 100294
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:14:00 PM;0.00;97.380;26.220;33294.000;30.000
27.03.17;12:14:01 PM;0.02;97.080;26.250;33314.000;30.000
27.03.17;12:14:02 PM;0.04;97.100;26.250;33316.000;30.000
27.03.17;12:14:16 PM;0.27;96.930;26.270;33312.000;30.000
27.03.17;12:14:30 PM;0.52;97.330;26.220;33365.000;30.000
27.03.17;12:14:45 PM;0.76;96.700;26.290;33343.000;30.000
27.03.17;12:15:01 PM;1.02;96.920;26.270;33388.000;30.000
27.03.17;12:15:16 PM;1.27;96.850;26.280;33404.000;30.000
27.03.17;12:15:31 PM;1.52;96.960;26.260;33395.000;30.000
27.03.17;12:15:46 PM;1.77;96.260;26.340;33408.000;30.000
27.03.17;12:16:01 PM;2.02;96.030;26.360;33420.000;30.000
27.03.17;12:16:16 PM;2.27;95.800;26.390;33463.000;30.000
27.03.17;12:16:30 PM;2.51;96.050;26.360;33463.000;30.000
27.03.17;12:16:46 PM;2.77;95.880;26.380;33510.000;30.000
27.03.17;12:17:00 PM;3.02;95.940;26.370;33510.000;30.000
27.03.17;12:17:16 PM;3.27;96.190;26.350;33552.000;30.000
27.03.17;12:17:31 PM;3.52;95.660;26.400;33548.000;30.000
27.03.17;12:17:46 PM;3.77;95.850;26.380;33579.000;30.000
27.03.17;12:18:01 PM;4.02;95.540;26.420;33580.000;30.000
27.03.17;12:18:16 PM;4.27;95.410;26.430;33609.000;30.000
27.03.17;12:18:30 PM;4.51;95.290;26.440;33632.000;30.000
27.03.17;12:18:46 PM;4.77;95.090;26.470;33666.000;30.000
27.03.17;12:19:00 PM;5.02;95.530;26.420;33684.000;30.000
27.03.17;12:19:16 PM;5.27;95.220;26.450;33699.000;30.000
27.03.17;12:19:31 PM;5.52;94.710;26.510;33738.000;30.000
27.03.17;12:19:46 PM;5.77;94.520;26.530;33736.000;30.000
27.03.17;12:20:01 PM;6.02;94.730;26.510;33788.000;30.000
27.03.17;12:20:16 PM;6.27;94.110;26.570;33750.000;30.000
27.03.17;12:20:30 PM;6.52;94.460;26.540;33747.000;30.000
27.03.17;12:20:46 PM;6.77;94.400;26.540;33836.000;30.000
27.03.17;12:21:00 PM;7.02;94.960;26.480;33824.000;30.000
27.03.17;12:21:15 PM;7.26;94.280;26.560;33732.000;30.000
27.03.17;12:21:31 PM;7.52;94.020;26.580;33873.000;30.000
27.03.17;12:21:46 PM;7.77;93.780;26.610;33807.000;30.000
27.03.17;12:22:01 PM;8.02;93.990;26.590;33853.000;30.000
27.03.17;12:22:15 PM;8.27;94.410;26.540;33809.000;30.000
27.03.17;12:22:31 PM;8.52;93.820;26.610;33778.000;30.000
27.03.17;12:22:45 PM;8.77;93.540;26.640;33854.000;30.000
27.03.17;12:23:01 PM;9.02;93.120;26.680;33894.000;30.000
27.03.17;12:23:16 PM;9.27;93.940;26.590;33822.000;30.000
27.03.17;12:23:30 PM;9.52;93.770;26.610;33827.000;30.000
27.03.17;12:23:45 PM;9.76;93.500;26.640;33840.000;30.000
27.03.17;12:24:01 PM;10.02;93.770;26.610;33836.000;30.000
27.03.17;12:24:16 PM;10.27;94.740;26.500;33772.000;30.000
27.03.17;12:24:31 PM;10.52;93.870;26.600;33854.000;30.000
27.03.17;12:24:46 PM;10.77;93.930;26.590;33828.000;30.000
27.03.17;12:25:01 PM;11.02;94.520;26.530;33757.000;30.000
27.03.17;12:25:15 PM;11.27;94.680;26.510;33767.000;30.000
27.03.17;12:25:30 PM;11.52;94.710;26.510;33750.000;30.000
27.03.17;12:25:46 PM;11.77;94.720;26.510;33732.000;30.000
27.03.17;12:26:01 PM;12.02;94.820;26.500;33716.000;30.000
27.03.17;12:26:16 PM;12.27;95.390;26.430;33664.000;30.000
27.03.17;12:26:30 PM;12.52;95.360;26.440;33625.000;30.000
27.03.17;12:26:46 PM;12.77;95.250;26.450;33545.000;30.000
27.03.17;12:27:01 PM;13.02;95.020;26.470;33559.000;30.000
27.03.17;12:27:16 PM;13.27;95.580;26.410;33550.000;30.000
27.03.17;12:27:31 PM;13.52;94.660;26.510;33524.000;30.000
27.03.17;12:27:45 PM;13.76;95.410;26.430;33461.000;30.000
