27.03.17/12:14 PM SW ver:OXY10v3_33
Header Ch-6
Description: Q10RAMP-30C-F1Y
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 99538
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:14:00 PM;0.00;99.120;26.040;27474.000;30.000
27.03.17;12:14:01 PM;0.02;98.470;26.100;27441.000;30.000
27.03.17;12:14:03 PM;0.04;97.840;26.170;27429.000;30.000
27.03.17;12:14:17 PM;0.29;99.310;26.020;27423.000;30.000
27.03.17;12:14:32 PM;0.54;98.370;26.120;27448.000;30.000
27.03.17;12:14:47 PM;0.79;98.100;26.140;27506.000;30.000
27.03.17;12:15:02 PM;1.04;99.030;26.050;27391.000;30.000
27.03.17;12:15:18 PM;1.29;98.920;26.060;27415.000;30.000
27.03.17;12:15:32 PM;1.54;98.630;26.090;27550.000;30.000
27.03.17;12:15:48 PM;1.79;98.360;26.120;27488.000;30.000
27.03.17;12:16:02 PM;2.04;97.620;26.190;27536.000;30.000
27.03.17;12:16:17 PM;2.29;97.660;26.190;27561.000;30.000
27.03.17;12:16:32 PM;2.54;97.980;26.160;27574.000;30.000
27.03.17;12:16:47 PM;2.79;97.670;26.190;27536.000;30.000
27.03.17;12:17:03 PM;3.04;96.770;26.280;27605.000;30.000
27.03.17;12:17:17 PM;3.29;96.500;26.310;27621.000;30.000
27.03.17;12:17:32 PM;3.54;96.980;26.260;27614.000;30.000
27.03.17;12:17:47 PM;3.79;97.820;26.170;27621.000;30.000
27.03.17;12:18:02 PM;4.04;97.950;26.160;27643.000;30.000
27.03.17;12:18:18 PM;4.29;97.010;26.260;27643.000;30.000
27.03.17;12:18:32 PM;4.54;97.980;26.160;27712.000;30.000
27.03.17;12:18:47 PM;4.79;97.140;26.240;27703.000;30.000
27.03.17;12:19:03 PM;5.04;96.290;26.340;27767.000;30.000
27.03.17;12:19:17 PM;5.29;97.030;26.260;27724.000;30.000
27.03.17;12:19:32 PM;5.54;96.800;26.280;27755.000;30.000
27.03.17;12:19:47 PM;5.79;97.010;26.260;27811.000;30.000
27.03.17;12:20:03 PM;6.04;95.960;26.370;27755.000;30.000
27.03.17;12:20:18 PM;6.29;95.740;26.400;27812.000;30.000
27.03.17;12:20:32 PM;6.54;95.520;26.420;27803.000;30.000
27.03.17;12:20:47 PM;6.79;96.660;26.300;27869.000;30.000
27.03.17;12:21:02 PM;7.04;96.390;26.330;27830.000;30.000
27.03.17;12:21:17 PM;7.29;95.910;26.380;27854.000;30.000
27.03.17;12:21:32 PM;7.54;94.770;26.500;27883.000;30.000
27.03.17;12:21:47 PM;7.79;95.980;26.370;27927.000;30.000
27.03.17;12:22:03 PM;8.04;96.060;26.360;27864.000;30.000
27.03.17;12:22:18 PM;8.29;95.610;26.410;27908.000;30.000
27.03.17;12:22:33 PM;8.54;94.200;26.560;27900.000;30.000
27.03.17;12:22:48 PM;8.79;96.340;26.330;28007.000;30.000
27.03.17;12:23:02 PM;9.04;94.840;26.490;27974.000;30.000
27.03.17;12:23:17 PM;9.29;95.320;26.440;27978.000;30.000
27.03.17;12:23:32 PM;9.54;94.750;26.500;27905.000;30.000
27.03.17;12:23:47 PM;9.79;95.410;26.430;27930.000;30.000
27.03.17;12:24:02 PM;10.04;96.070;26.360;27974.000;30.000
27.03.17;12:24:17 PM;10.29;96.060;26.360;27933.000;30.000
27.03.17;12:24:32 PM;10.54;95.890;26.380;27863.000;30.000
27.03.17;12:24:47 PM;10.79;96.110;26.360;27950.000;30.000
27.03.17;12:25:02 PM;11.04;95.150;26.460;27879.000;30.000
27.03.17;12:25:18 PM;11.29;95.660;26.400;27799.000;30.000
27.03.17;12:25:33 PM;11.54;95.560;26.410;27843.000;30.000
27.03.17;12:25:48 PM;11.79;95.050;26.470;27915.000;30.000
27.03.17;12:26:03 PM;12.04;97.540;26.200;27857.000;30.000
27.03.17;12:26:17 PM;12.29;95.820;26.390;27869.000;30.000
27.03.17;12:26:33 PM;12.54;97.060;26.250;27824.000;30.000
27.03.17;12:26:47 PM;12.79;97.520;26.200;27844.000;30.000
27.03.17;12:27:02 PM;13.04;96.030;26.360;27781.000;30.000
27.03.17;12:27:17 PM;13.29;96.350;26.330;27782.000;30.000
27.03.17;12:27:33 PM;13.54;96.840;26.280;27698.000;30.000
27.03.17;12:27:47 PM;13.79;97.270;26.230;27768.000;30.000
