27.03.17/12:14 PM SW ver:OXY10v3_33
Header Ch-7
Description: Q10RAMP-30C-H2
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 95927
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:14:02 PM;0.00;97.780;26.180;27960.000;30.000
27.03.17;12:14:03 PM;0.02;97.610;26.200;27960.000;30.000
27.03.17;12:14:05 PM;0.04;97.300;26.230;27981.000;30.000
27.03.17;12:14:19 PM;0.29;97.290;26.230;28012.000;30.000
27.03.17;12:14:34 PM;0.53;96.740;26.290;27936.000;30.000
27.03.17;12:14:49 PM;0.79;96.950;26.270;27903.000;30.000
27.03.17;12:15:04 PM;1.04;97.330;26.220;27958.000;30.000
27.03.17;12:15:19 PM;1.29;96.450;26.320;27983.000;30.000
27.03.17;12:15:34 PM;1.54;96.460;26.320;28150.000;30.000
27.03.17;12:15:49 PM;1.79;96.480;26.320;28152.000;30.000
27.03.17;12:16:04 PM;2.04;95.780;26.390;28207.000;30.000
27.03.17;12:16:19 PM;2.29;95.800;26.390;28226.000;30.000
27.03.17;12:16:34 PM;2.53;95.560;26.410;28254.000;30.000
27.03.17;12:16:49 PM;2.78;95.260;26.450;28295.000;30.000
27.03.17;12:17:04 PM;3.04;95.100;26.470;28307.000;30.000
27.03.17;12:17:19 PM;3.28;94.640;26.520;28346.000;30.000
27.03.17;12:17:34 PM;3.54;94.860;26.490;28387.000;30.000
27.03.17;12:17:49 PM;3.79;94.770;26.500;28447.000;30.000
27.03.17;12:18:04 PM;4.04;94.030;26.580;28421.000;30.000
27.03.17;12:18:19 PM;4.29;94.200;26.560;28483.000;30.000
27.03.17;12:18:34 PM;4.54;93.760;26.610;28498.000;30.000
27.03.17;12:18:49 PM;4.79;93.910;26.600;28540.000;30.000
27.03.17;12:19:04 PM;5.04;93.400;26.650;28564.000;30.000
27.03.17;12:19:19 PM;5.29;93.390;26.650;28597.000;30.000
27.03.17;12:19:34 PM;5.53;93.070;26.690;28628.000;30.000
27.03.17;12:19:49 PM;5.79;93.130;26.680;28665.000;30.000
27.03.17;12:20:04 PM;6.04;92.450;26.760;28694.000;30.000
27.03.17;12:20:19 PM;6.29;92.370;26.770;28698.000;30.000
27.03.17;12:20:34 PM;6.53;92.150;26.790;28760.000;30.000
27.03.17;12:20:49 PM;6.79;92.340;26.770;28818.000;30.000
27.03.17;12:21:04 PM;7.03;91.980;26.810;28874.000;30.000
27.03.17;12:21:19 PM;7.29;92.170;26.790;28829.000;30.000
27.03.17;12:21:34 PM;7.54;91.710;26.840;28839.000;30.000
27.03.17;12:21:49 PM;7.79;91.520;26.870;28870.000;30.000
27.03.17;12:22:04 PM;8.04;91.950;26.820;28815.000;30.000
27.03.17;12:22:19 PM;8.29;91.870;26.830;28878.000;30.000
27.03.17;12:22:34 PM;8.54;91.240;26.900;28858.000;30.000
27.03.17;12:22:49 PM;8.79;92.010;26.810;28885.000;30.000
27.03.17;12:23:04 PM;9.03;92.370;26.770;28906.000;30.000
27.03.17;12:23:19 PM;9.28;91.600;26.860;28839.000;30.000
27.03.17;12:23:34 PM;9.54;91.610;26.860;28878.000;30.000
27.03.17;12:23:49 PM;9.78;92.120;26.800;28847.000;30.000
27.03.17;12:24:04 PM;10.04;91.860;26.830;28820.000;30.000
27.03.17;12:24:19 PM;10.28;91.940;26.820;28802.000;30.000
27.03.17;12:24:35 PM;10.54;92.210;26.790;28844.000;30.000
27.03.17;12:24:49 PM;10.79;92.120;26.800;28823.000;30.000
27.03.17;12:25:04 PM;11.04;92.870;26.710;28733.000;30.000
27.03.17;12:25:19 PM;11.29;93.140;26.680;28727.000;30.000
27.03.17;12:25:34 PM;11.54;92.370;26.770;28674.000;30.000
27.03.17;12:25:49 PM;11.79;92.820;26.720;28694.000;30.000
27.03.17;12:26:04 PM;12.04;92.230;26.780;28647.000;30.000
27.03.17;12:26:19 PM;12.29;93.050;26.690;28577.000;30.000
27.03.17;12:26:34 PM;12.54;94.110;26.570;28594.000;30.000
27.03.17;12:26:49 PM;12.79;93.800;26.610;28486.000;30.000
27.03.17;12:27:04 PM;13.04;93.940;26.590;28496.000;30.000
27.03.17;12:27:19 PM;13.28;94.420;26.540;28471.000;30.000
27.03.17;12:27:34 PM;13.53;94.130;26.570;28451.000;30.000
27.03.17;12:27:49 PM;13.79;94.720;26.510;28360.000;30.000
