27.03.17/12:14 PM SW ver:OXY10v3_33
Header Ch-8
Description: Q10RAMP-30C-J7
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 98500
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:14:04 PM;0.00;96.930;26.270;26735.000;30.000
27.03.17;12:14:05 PM;0.02;97.560;26.200;26681.000;30.000
27.03.17;12:14:06 PM;0.03;96.150;26.350;26692.000;30.000
27.03.17;12:14:20 PM;0.27;96.650;26.300;26801.000;30.000
27.03.17;12:14:35 PM;0.52;96.280;26.340;26596.000;30.000
27.03.17;12:14:50 PM;0.77;96.570;26.310;26502.000;30.000
27.03.17;12:15:05 PM;1.02;96.320;26.330;26568.000;30.000
27.03.17;12:15:20 PM;1.27;96.250;26.340;26625.000;30.000
27.03.17;12:15:35 PM;1.52;96.210;26.340;26898.000;30.000
27.03.17;12:15:50 PM;1.77;95.880;26.380;26905.000;30.000
27.03.17;12:16:05 PM;2.02;96.240;26.340;26953.000;30.000
27.03.17;12:16:20 PM;2.27;96.080;26.360;26935.000;30.000
27.03.17;12:16:35 PM;2.52;95.700;26.400;26950.000;30.000
27.03.17;12:16:50 PM;2.77;96.040;26.360;26976.000;30.000
27.03.17;12:17:05 PM;3.02;95.750;26.390;26984.000;30.000
27.03.17;12:17:20 PM;3.27;95.680;26.400;27041.000;30.000
27.03.17;12:17:35 PM;3.52;94.930;26.480;27039.000;30.000
27.03.17;12:17:50 PM;3.77;95.290;26.440;27057.000;30.000
27.03.17;12:18:05 PM;4.02;94.690;26.510;27055.000;30.000
27.03.17;12:18:20 PM;4.27;94.070;26.580;27070.000;30.000
27.03.17;12:18:35 PM;4.52;94.450;26.540;27088.000;30.000
27.03.17;12:18:50 PM;4.77;94.540;26.530;27123.000;30.000
27.03.17;12:19:05 PM;5.02;94.590;26.520;27107.000;30.000
27.03.17;12:19:20 PM;5.27;93.810;26.610;27143.000;30.000
27.03.17;12:19:35 PM;5.52;93.990;26.590;27156.000;30.000
27.03.17;12:19:50 PM;5.77;94.210;26.560;27171.000;30.000
27.03.17;12:20:05 PM;6.02;93.990;26.590;27129.000;30.000
27.03.17;12:20:20 PM;6.27;93.390;26.650;27166.000;30.000
27.03.17;12:20:35 PM;6.52;93.200;26.680;27233.000;30.000
27.03.17;12:20:50 PM;6.77;94.750;26.500;27172.000;30.000
27.03.17;12:21:05 PM;7.02;93.640;26.630;27184.000;30.000
27.03.17;12:21:20 PM;7.27;93.230;26.670;27245.000;30.000
27.03.17;12:21:35 PM;7.52;93.800;26.610;27278.000;30.000
27.03.17;12:21:50 PM;7.77;93.460;26.650;27298.000;30.000
27.03.17;12:22:05 PM;8.02;93.240;26.670;27316.000;30.000
27.03.17;12:22:20 PM;8.27;93.070;26.690;27264.000;30.000
27.03.17;12:22:35 PM;8.52;93.580;26.630;27312.000;30.000
27.03.17;12:22:50 PM;8.77;92.760;26.730;27275.000;30.000
27.03.17;12:23:05 PM;9.02;93.280;26.670;27350.000;30.000
27.03.17;12:23:20 PM;9.27;92.910;26.710;27289.000;30.000
27.03.17;12:23:35 PM;9.52;93.530;26.640;27267.000;30.000
27.03.17;12:23:50 PM;9.77;92.600;26.740;27241.000;30.000
27.03.17;12:24:05 PM;10.02;92.970;26.700;27323.000;30.000
27.03.17;12:24:20 PM;10.27;93.410;26.650;27286.000;30.000
27.03.17;12:24:35 PM;10.52;92.770;26.720;27262.000;30.000
27.03.17;12:24:50 PM;10.77;93.070;26.690;27227.000;30.000
27.03.17;12:25:05 PM;11.02;93.280;26.670;27210.000;30.000
27.03.17;12:25:20 PM;11.27;93.800;26.610;27124.000;30.000
27.03.17;12:25:35 PM;11.52;94.400;26.540;27184.000;30.000
27.03.17;12:25:50 PM;11.77;94.100;26.580;27196.000;30.000
27.03.17;12:26:05 PM;12.02;93.190;26.680;27199.000;30.000
27.03.17;12:26:20 PM;12.27;94.460;26.540;27126.000;30.000
27.03.17;12:26:35 PM;12.52;94.900;26.490;27085.000;30.000
27.03.17;12:26:50 PM;12.77;94.070;26.580;27074.000;30.000
27.03.17;12:27:05 PM;13.02;93.810;26.610;27057.000;30.000
27.03.17;12:27:20 PM;13.27;94.800;26.500;27110.000;30.000
27.03.17;12:27:35 PM;13.52;94.650;26.510;27046.000;30.000
27.03.17;12:27:50 PM;13.77;94.720;26.510;26968.000;30.000
