27.03.17/12:52 PM SW ver:OXY10v3_33
Header Ch-1
Description: Q10RAMP-32.5C-B35
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100067
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 005400
100.00%a.s.phase 2: 27.68 at 020.0°C amp 007300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:52:46 PM;0.00;98.690;25.670;16229.000;32.500
27.03.17;12:52:48 PM;0.03;98.200;25.720;16224.000;32.500
27.03.17;12:53:03 PM;0.28;98.210;25.720;16240.000;32.500
27.03.17;12:53:18 PM;0.53;98.190;25.730;16271.000;32.500
27.03.17;12:53:33 PM;0.78;98.340;25.710;16284.000;32.500
27.03.17;12:53:48 PM;1.03;97.210;25.830;16312.000;32.500
27.03.17;12:54:03 PM;1.28;97.500;25.800;16337.000;32.500
27.03.17;12:54:18 PM;1.53;96.910;25.860;16447.000;32.500
27.03.17;12:54:33 PM;1.78;96.900;25.860;16398.000;32.500
27.03.17;12:54:48 PM;2.03;96.490;25.900;16403.000;32.500
27.03.17;12:55:03 PM;2.28;96.030;25.950;16449.000;32.500
27.03.17;12:55:18 PM;2.53;95.950;25.960;16442.000;32.500
27.03.17;12:55:33 PM;2.78;95.660;25.990;16467.000;32.500
27.03.17;12:55:48 PM;3.03;95.090;26.050;16499.000;32.500
27.03.17;12:56:03 PM;3.28;95.440;26.020;16516.000;32.500
27.03.17;12:56:18 PM;3.53;94.720;26.090;16554.000;32.500
27.03.17;12:56:33 PM;3.78;94.380;26.130;16547.000;32.500
27.03.17;12:56:48 PM;4.03;94.250;26.150;16602.000;32.500
27.03.17;12:57:03 PM;4.28;94.150;26.160;16614.000;32.500
27.03.17;12:57:18 PM;4.53;93.480;26.230;16650.000;32.500
27.03.17;12:57:33 PM;4.78;93.710;26.210;16666.000;32.500
27.03.17;12:57:48 PM;5.03;94.190;26.150;16694.000;32.500
27.03.17;12:58:03 PM;5.28;93.220;26.260;16739.000;32.500
27.03.17;12:58:18 PM;5.53;93.060;26.280;16706.000;32.500
27.03.17;12:58:33 PM;5.78;91.420;26.460;16790.000;32.500
27.03.17;12:58:48 PM;6.03;93.530;26.230;16806.000;32.500
27.03.17;12:59:03 PM;6.28;91.120;26.500;16835.000;32.500
27.03.17;12:59:18 PM;6.53;93.710;26.210;16870.000;32.500
27.03.17;12:59:33 PM;6.78;92.640;26.320;16913.000;32.500
27.03.17;12:59:48 PM;7.03;92.330;26.360;16930.000;32.500
27.03.17;1:00:03 PM;7.28;89.870;26.640;16920.000;32.500
27.03.17;1:00:18 PM;7.53;91.420;26.460;16906.000;32.500
27.03.17;1:00:33 PM;7.78;90.250;26.600;16970.000;32.500
27.03.17;1:00:48 PM;8.03;90.360;26.580;16953.000;32.500
27.03.17;1:01:03 PM;8.28;90.710;26.540;16885.000;32.500
27.03.17;1:01:18 PM;8.53;90.740;26.540;16904.000;32.500
27.03.17;1:01:33 PM;8.78;90.630;26.550;16951.000;32.500
27.03.17;1:01:48 PM;9.03;92.360;26.360;16974.000;32.500
27.03.17;1:02:03 PM;9.28;91.770;26.420;16918.000;32.500
27.03.17;1:02:18 PM;9.53;90.290;26.590;16979.000;32.500
27.03.17;1:02:33 PM;9.78;91.790;26.420;16243.000;32.500
27.03.17;1:02:48 PM;10.03;92.400;26.350;16220.000;32.500
27.03.17;1:03:03 PM;10.28;89.760;26.650;16282.000;32.500
27.03.17;1:03:18 PM;10.53;91.450;26.460;16263.000;32.500
27.03.17;1:03:33 PM;10.78;92.420;26.350;16253.000;32.500
27.03.17;1:03:48 PM;11.03;91.870;26.410;16211.000;32.500
27.03.17;1:04:03 PM;11.28;92.980;26.290;16165.000;32.500
27.03.17;1:04:18 PM;11.53;91.230;26.480;16236.000;32.500
27.03.17;1:04:33 PM;11.78;92.510;26.340;16159.000;32.500
27.03.17;1:04:48 PM;12.03;91.940;26.400;16138.000;32.500
27.03.17;1:05:03 PM;12.28;93.160;26.270;16152.000;32.500
27.03.17;1:05:18 PM;12.53;93.230;26.260;16143.000;32.500
27.03.17;1:05:33 PM;12.78;92.010;26.390;16127.000;32.500
27.03.17;1:05:48 PM;13.03;93.470;26.230;16128.000;32.500
27.03.17;1:06:03 PM;13.28;92.770;26.310;16072.000;32.500
27.03.17;1:06:18 PM;13.53;93.020;26.280;16087.000;32.500
27.03.17;1:06:33 PM;13.78;93.910;26.180;16051.000;32.500
27.03.17;1:06:48 PM;14.03;93.810;26.190;15982.000;32.500
27.03.17;1:07:03 PM;14.28;93.400;26.240;16015.000;32.500
27.03.17;1:07:18 PM;14.53;94.780;26.090;15992.000;32.500
