27.03.17/12:52 PM SW ver:OXY10v3_33
Header Ch-2
Description: Q10RAMP-32.5C-C7
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 98741
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
27.03.17;12:52:47 PM;0.00;98.880;25.650;25563.000;32.500
27.03.17;12:52:50 PM;0.05;98.980;25.640;25570.000;32.500
27.03.17;12:53:05 PM;0.30;98.490;25.690;25597.000;32.500
27.03.17;12:53:20 PM;0.55;98.470;25.700;25605.000;32.500
27.03.17;12:53:35 PM;0.80;98.150;25.730;25637.000;32.500
27.03.17;12:53:50 PM;1.05;98.220;25.720;25638.000;32.500
27.03.17;12:54:05 PM;1.30;97.930;25.750;25692.000;32.500
27.03.17;12:54:20 PM;1.55;98.770;25.670;25663.000;32.500
27.03.17;12:54:35 PM;1.80;97.820;25.760;25760.000;32.500
27.03.17;12:54:50 PM;2.05;97.070;25.840;25771.000;32.500
27.03.17;12:55:05 PM;2.30;97.490;25.800;25828.000;32.500
27.03.17;12:55:20 PM;2.55;97.730;25.770;25818.000;32.500
27.03.17;12:55:35 PM;2.80;97.210;25.830;25829.000;32.500
27.03.17;12:55:50 PM;3.05;97.510;25.800;25886.000;32.500
27.03.17;12:56:05 PM;3.30;97.640;25.780;25874.000;32.500
27.03.17;12:56:20 PM;3.55;97.110;25.840;25902.000;32.500
27.03.17;12:56:35 PM;3.80;96.320;25.920;25862.000;32.500
27.03.17;12:56:50 PM;4.05;95.960;25.960;25936.000;32.500
27.03.17;12:57:05 PM;4.30;95.990;25.960;25980.000;32.500
27.03.17;12:57:20 PM;4.55;95.900;25.970;25998.000;32.500
27.03.17;12:57:35 PM;4.80;96.680;25.880;25995.000;32.500
27.03.17;12:57:50 PM;5.05;95.400;26.020;26072.000;32.500
27.03.17;12:58:05 PM;5.30;95.210;26.040;26052.000;32.500
27.03.17;12:58:20 PM;5.55;95.290;26.030;26117.000;32.500
27.03.17;12:58:35 PM;5.80;94.810;26.090;26115.000;32.500
27.03.17;12:58:50 PM;6.05;95.440;26.020;26144.000;32.500
27.03.17;12:59:05 PM;6.30;95.790;25.980;26104.000;32.500
27.03.17;12:59:20 PM;6.55;94.620;26.110;26205.000;32.500
27.03.17;12:59:35 PM;6.80;94.170;26.150;26197.000;32.500
27.03.17;12:59:50 PM;7.05;95.440;26.020;26220.000;32.500
27.03.17;1:00:05 PM;7.30;95.150;26.050;26163.000;32.500
27.03.17;1:00:20 PM;7.55;94.310;26.140;26215.000;32.500
27.03.17;1:00:35 PM;7.80;94.540;26.110;26243.000;32.500
27.03.17;1:00:50 PM;8.05;95.030;26.060;26268.000;32.500
27.03.17;1:01:05 PM;8.30;94.070;26.170;26179.000;32.500
27.03.17;1:01:20 PM;8.55;94.810;26.090;26239.000;32.500
27.03.17;1:01:35 PM;8.80;94.640;26.100;26249.000;32.500
27.03.17;1:01:50 PM;9.05;94.240;26.150;26257.000;32.500
27.03.17;1:02:05 PM;9.30;93.960;26.180;26292.000;32.500
27.03.17;1:02:20 PM;9.55;93.780;26.200;26265.000;32.500
27.03.17;1:02:35 PM;9.80;93.620;26.220;26074.000;32.500
27.03.17;1:02:50 PM;10.05;94.240;26.150;26027.000;32.500
27.03.17;1:03:05 PM;10.30;94.660;26.100;26098.000;32.500
27.03.17;1:03:20 PM;10.55;94.630;26.100;26022.000;32.500
27.03.17;1:03:35 PM;10.80;94.730;26.090;26091.000;32.500
27.03.17;1:03:50 PM;11.05;93.850;26.190;26082.000;32.500
27.03.17;1:04:05 PM;11.30;94.210;26.150;26068.000;32.500
27.03.17;1:04:20 PM;11.55;94.960;26.070;26004.000;32.500
27.03.17;1:04:35 PM;11.80;93.650;26.210;26065.000;32.500
27.03.17;1:04:50 PM;12.05;94.430;26.130;26013.000;32.500
27.03.17;1:05:05 PM;12.30;94.340;26.140;26045.000;32.500
27.03.17;1:05:20 PM;12.55;94.560;26.110;26017.000;32.500
27.03.17;1:05:35 PM;12.80;94.240;26.150;25913.000;32.500
27.03.17;1:05:50 PM;13.05;95.050;26.060;25959.000;32.500
27.03.17;1:06:05 PM;13.30;94.740;26.090;25914.000;32.500
27.03.17;1:06:20 PM;13.55;95.250;26.040;25899.000;32.500
27.03.17;1:06:35 PM;13.80;94.940;26.070;25905.000;32.500
27.03.17;1:06:50 PM;14.05;94.380;26.130;25856.000;32.500
27.03.17;1:07:05 PM;14.30;94.520;26.120;25885.000;32.500
27.03.17;1:07:20 PM;14.55;95.960;25.960;25803.000;32.500
